mu,omega,alpha1,beta1,shape,tick,ar1,ar2,ma1,ma2,alpha2,gamma1,gamma2,beta2,ma3,eta11,eta21,skew,ar3,ar4,ar5,ma4,label
0.00234193631917289,1.19099142447509e-05,0.117500347081449,0.866191344674418,4.50469794740894,A,,,,,,,,,,,,,,,,,2010
0.000168954142170577,8.78511411792087e-06,0.0466371754659248,0.945079665807299,6.27042485511876,AAL,,,,,,,,,,,,,,,,,2010
0.00188549281955441,3.78806194828537e-06,0.125038421371018,0.873959975002474,4.28376036731759,AAPL,-0.741845300804572,-0.819748903386977,0.728692000141075,0.889954119626357,,,,,,,,,,,,,2010
-7.96735564600839e-05,3.38032004379937e-06,0.0252344935983506,0.933002712924847,7.85775027642104,ABT,,,,,,,,,,,,,,,,,2010
0.000682967114599638,2.24575919975899e-06,0.00855806638232743,0.908187189476983,7.79581573251789,ACGL,,,-0.164398209813838,,0.0617888517130186,,,,,,,,,,,,2010
0.000605775230151706,0.000120156640710701,0.133390009352396,0.236937789732754,4.36600036557451,ACN,,,,,,,,,,,,,,,,,2010
-0.000612668752127917,4.20252380773483e-07,3.00500451710271e-09,0.998999674926065,2.7856154367178,ADBE,,,,,,,,,,,,,,,,,2010
0.0005083379057307,2.22046531911771e-16,0.000115368103676571,0.949977838564529,30.6810577796626,ADI,,,,,0.0104820223890234,-0.141033393996301,0.217844279761063,,,,,,,,,,2010
-2.29782614965238e-05,4.390869712059e-06,0.0361239410136957,0.952125619199568,3.67381981962697,ADM,,,,,,,,,,,,,,,,,2010
0.00047670966710279,1.06904617482995e-05,0.0995300711936409,0.823687913297392,4.85938428038348,ADP,,,,,,,,,,,,,,,,,2010
0.00241901181838933,2.89555474129083e-05,0.111539912879928,0.846355879670117,4.64143330089575,ADSK,,,,,5.00184442637063e-07,,,,,,,,,,,,2010
0.000262860404276092,2.52584449724835e-06,0.085039720436875,0.89685911959269,27.7616551730369,AEE,,,,,,,,,,,,,,,,,2010
0.000241321144433338,2.53524141892372e-06,0.126337748866175,0.851170790805111,18.970528488347,AEP,,,,,,,,,,,,,,,,,2010
2.73725535856081e-05,6.02884634101453e-06,0.0957969149922021,0.105039229488133,5.89453686390984,AES,,,,,,,,0.785665680967334,,,,,,,,,2010
0.00213557283967909,1.19919270591871e-05,0.184222235756111,0.799377248277959,9.28522046010025,AFL,-0.0885062325114158,,,,,,,,,,,,,,,,2010
0.000783720782828332,2.13899672054886e-05,0.0428647487245278,0.942378167867572,3.65299834223423,AIG,,,,,,,,,,,,,,,,,2010
0.00139921085785278,5.70971649498461e-12,2.24646833889784e-05,0.998908480208218,4.0330655797864,AIZ,,,,,,,,,,,,,,,,,2010
0.00184339624315185,5.50568991741798e-07,0.160918000044737,0.243355029965221,4.68926393029975,AJG,,,-0.0680564729318573,-0.050923784040602,,,,,-0.142223991932437,0.995146081804759,0.0352395039637202,1.17365953329761,,,,,2010
0.00273600061994018,1.87308707436764e-05,0.0321022132986789,0.942577163352837,3.55023067415386,AKAM,,,,,,,,,,,,,,,,,2010
0.00214455513383389,4.91707862432894e-08,0.00150506427080679,0.00145701380660786,21.9900626949928,ALB,0.0578626804822009,,,,0.17142872578428,,,0.318487050250965,,0.999879667904221,0.0499380420485758,,,,,,2010
0.000841881907942133,0.000406028652381337,0.342478104056188,0.185703650237313,3.77798110157041,ALGN,,,,,,,,,,,,,,,,,2010
0.00181088096562818,6.2476877114917e-06,0.053054381660885,2.06769064222778e-07,7.79286411901856,ALK,,,,,0.10330220160234,,,0.833510861055873,,,,0.892167171239547,,,,,2010
0.0012621372770604,4.40929514194632e-06,0.0958165208178216,0.903183410063004,3.68237893737463,ALL,-0.201732597384823,,,,,,,,,,,,,,,,2010
0.0014840948964892,2.31711673134445e-06,0.0629320350551303,0.926776477474067,9.74470882195519,AMAT,,,,,,,,,,,,,,,,,2010
0.000821513495630286,4.53542414636907e-05,0.0868687198588606,0.860435175902231,5.89010793866174,AMD,,,,,,,,,,,,,,,,,2010
0.00162961943482003,8.67840127820959e-06,0.05355406512567,0.90818974596495,4.58484305253804,AME,,,,,,,,,,,,,,,,,2010
-0.000306554449794402,4.89301770201258e-06,0.0289925816769888,0.946507298267692,3.85154750711625,AMGN,-0.0902466316382834,,,,,,,,,,,,,,,,2010
0.00241169665680108,1.30074103958689e-05,0.0826515392882814,0.893426408810128,4.30487388768937,AMP,-0.105283322654719,,,,,,,,,,,,,,,,2010
0.000717454247170505,4.70986436552338e-06,0.0428402965564367,0.935226055029872,5.30012518733746,AMT,0.616283045482797,,-0.760631411384278,,,,,,,,,,,,,,2010
0.00108065177516558,2.4341073802769e-07,6.25081564918091e-09,0.998999940352003,7.25853434594072,AMZN,,,,,,,,,,,,,,,,,2010
0.00103045398369546,1.70001607546519e-05,0.0574125847226721,0.881975850124226,4.93351362097297,ANSS,,,,,,,,,,,,,,,,,2010
0.00153311104465497,3.28309166884421e-06,0.131329067298504,0.867670417117327,3.84581895794948,AON,,,-0.0651545879040065,,,,,,,,,,,,,,2010
0.00095108412328443,3.10617967408327e-06,0.0459733557824004,0.950890561813587,4.43343470691413,AOS,,,,,,,,,,,,,,,,,2010
0.000802873163789498,1.63268522712724e-05,8.2605955630159e-10,0.85603972321854,9.51055192916037,APA,,,,,,0.19518036058227,,,,,,,,,,,2010
0.00162527462374687,8.04984784863573e-06,0.128774519846968,0.832734903088263,8.77201872131772,APD,,,,,,,,,,,,,,,,,2010
0.000227228052409749,4.75784646272199e-07,0.0423576935444382,0.956642289993653,4.13848503271047,APH,,,,,,,,,,,,,,,,,2010
