mu,ar1,ma1,omega,alpha1,beta1,shape,tick,ar2,ar3,ma2,alpha2,beta2,skew,gamma1,gamma2,eta11,eta21,ar4,ma3,ma4,ma5,ar5,ar6,label
0.00303397369847693,0.702085303298805,-0.671294821912731,2.55317579033249e-14,0.0387664548998974,0.956197269051739,6.38044138612483,A,,,,,,,,,,,,,,,,,2009
-0.000139093442766765,,,9.0256932151957e-05,0.0564465619365673,0.922315107656855,12.265862186501,AAL,,,,,,,,,,,,,,,,,2009
0.00346340344512118,-0.486456930465328,0.59362857066149,4.40212054840219e-06,0.0254338720326563,0.944541670494518,19.4051444386883,AAPL,-0.796114756200148,-0.0143504326063832,0.808004596561094,0.0149980317184488,,,,,,,,,,,,,2009
0.000850022454359412,,,2.45343065431842e-08,0.107380614508281,0.111218322551115,9.96797550583831,ABT,,,,,0.774331402694388,1.07871612478508,,,,,,,,,,,2009
0.00100434731259163,-0.204839449987143,,1.57597227465552e-07,0.071181331734004,0.923107316381278,59.9747184388594,ACGL,,,,,,0.972982376029814,,,,,,,,,,,2009
0.00143027166453755,,,4.09434398212421e-13,0.000373103106397781,0.996002719233456,6.18065068491461,ACN,,,,,,,,,,,,,,,,,2009
-0.000857290032649146,0.039373234368755,-0.089652859629095,1.85859034659008e-07,0.0341531706314141,0.95931542707305,7.75949779913037,ADBE,0.923582952025274,,-0.96539999433919,,,,,,,,,,,,,,2009
0.00182429752281544,,,4.38690554112097e-13,0.0083805031411855,0.986109991028765,7.42942853165944,ADI,,,,,,,,,,,,,,,,,2009
0.000384202577110555,,-0.184899200509788,1.12254032655313e-12,0.0165043897214323,0.979169322533127,4.24391425110344,ADM,,,,,,0.89405016976692,,,,,,,,,,,2009
0.000873352956194205,-0.12980462616833,,5.34896413524286e-14,0.0291954333061552,0.965092353560138,12.9841880739317,ADP,,,,,,,,,,,,,,,,,2009
0.00130602991672712,,,8.81161376569597e-11,0.0198497085172695,0.975522069513244,5.35933003535632,ADSK,,,,,,,,,,,,,,,,,2009
0.00126624418216427,,,3.74334516899701e-06,0.0213134092008068,0.957249713527873,4.38624911933393,AEE,,,,,,,,,,,,,,,,,2009
0.00090656782045516,,,5.04281985975202e-06,0.145116246781715,0.838353356080775,99.9995999707017,AEP,,,,4.84904855319159e-08,,,,,,,,,,,,,2009
0.00166883158833929,,,1.21849178754212e-05,0.0792443098337302,0.910231305625694,12.0411960386515,AES,,,,,,,,,,,,,,,,,2009
0.00191019294988325,,-0.21049126597061,4.87296754925385e-12,7.23114580944769e-05,0.968712894416918,4.97048340052531,AFL,,,,5.89609540911118e-05,,,0.229445181133958,-0.189155226503758,,,,,,,,,2009
-0.00659252865856338,,,0.00124281180125957,0.509752482875435,0.489247460802643,3.13001828225887,AIG,,,,,,,,,,,,,,,,,2009
0.000333549650795847,,-0.165207456996875,2.01094000280178e-12,0.038891525499736,0.905151025982376,15.9381009336506,AIZ,,,,0.0519519717187415,,,,,,,,,,,,,2009
0.000596155155134951,,,1.68893113984634e-06,0.00932023800156168,0.975504409672671,4.23064139662577,AJG,,,,,,,,,,,,,,,,,2009
0.0019605911739997,,,1.70986764451545e-11,7.60223469107347e-06,0.0283479677420252,5.17476911398838,AKAM,,,,0.00866655674817686,0.952677008645435,,,,,,,,,,,,2009
0.00218748845845667,,,6.57344521791885e-12,0.0330497467168043,0.962219391048073,10.6377582882739,ALB,,,,,,,,,,,,,,,,,2009
0.000623057887366687,,,8.57786144129235e-13,3.25689902921438e-06,0.997094770873636,4.55201806343383,ALGN,,,,,,,,,,,,,,,,,2009
0.00300703822015638,,,1.08019008888827e-05,0.0572850460750701,0.93426968094616,5.41966428882607,ALK,,,,,,,,,,,,,,,,,2009
0.00113444655525843,-0.112671501180831,-0.0767343072796736,6.00279898326672e-08,0.141203684936693,0.145159148909235,6.03015815278629,ALL,,,,0.000435310187714416,,,,,0.999983315761999,0.0651194289838736,,,,,,,2009
0.00161922415498054,-0.892891161813015,0.814016395711185,4.19576751800239e-06,0.0231093523470692,0.923379545790864,59.9988667232903,AMAT,-0.0834309197615623,-0.0311544286345081,,0.0412958280080037,,0.974980238062926,,,,,,,,,,,2009
0.00526059006708696,-0.784525977564204,0.832799138051517,1.08066160861493e-10,0.0116053295513923,0.984772658599656,6.24924923513159,AMD,-0.0731593736438564,-0.0291303926798635,,,,,,,,,,,,,,,2009
0.00160370964947611,0.051307041312102,,1.21286700808344e-11,0.0265426777318842,0.965106058955353,5.38388294901512,AME,-0.0869935316792499,,,,,,,,,,,,,,,,2009
-0.00021785988927336,,,4.65416676244018e-13,0.00247491179062541,0.993743700808453,5.30576180271572,AMGN,,,,,,0.960072432407968,,,,,,,,,,,2009
0.000927160640429308,-0.175320218386231,,2.5540813390864e-12,0.000114872561376682,0.960371507646862,8.4046959330261,AMP,,,,,,,0.0722685753310174,,,,,,,,,,2009
0.00215077884188553,,,4.96460413202116e-12,0.0513556554395371,0.944918259219559,39.8463184932569,AMT,,,,,,,,,,,,,,,,,2009
0.00216124670608912,,,2.37434805580951e-11,0.00839058389621402,0.0265669353624527,5.83269539685776,AMZN,,,,,0.95521092363702,1.32792327582472,,,,,,,,,,,2009
0.00150772650086816,,,6.68282218734122e-14,0.0169827512802653,0.976694101178522,4.59221914567886,ANSS,,,,,,,,,,,,,,,,,2009
-0.000254857531983479,-0.199561453557169,,4.68037399079773e-14,0.000204748410491518,0.994909756231487,5.8347401674954,AON,-0.0992401638610193,,,,,,,,,,,,,,,,2009
