mu,omega,alpha1,alpha2,beta1,shape,tick,ar1,ma1,ar2,ma2,eta11,eta21,beta2,gamma1,ma3,ar3,skew,gamma2,ar4,ar5,ar6,ma4,label
-0.00255424041004968,0.00143640731955093,0.133035110114497,0.176961752376014,0.373158949964252,4.04863594592975,A,,,,,,,,,,,,,,,,,2000
-0.00186825221789656,0.000267484409566612,0.00761348314159055,,0.869560476345794,5.30604798144548,AAPL,-0.594504738817534,0.484148830049932,,,,,,,,,,,,,,,2000
0.00115286034565452,1.66074169298737e-05,0.0270143625501623,,0.942316224396846,16.5297517661136,ABT,,,,,,,,,,,,,,,,,2000
8.31673781945229e-05,8.25007518093445e-05,0.618814595331503,,0.380184816656106,3.79379481021331,ACGL,-0.304210504864551,0.0722526905785513,0.373589842999411,-0.567654038177962,,,,,,,,,,,,,2000
0.00253778873205167,6.25512351038091e-05,0.0644738897418118,,0.918835603062155,11.5921534229491,ADBE,,-0.139507650110453,,,,,,,,,,,,,,,2000
0.00185947539350109,0.000164064652551915,0.0501072510144575,,0.904283578988993,99.9901019776588,ADI,,,,,,,,,,,,,,,,,2000
0.000225476165539182,2.34827609536298e-07,2.72054989371067e-10,,0.998999966314747,7.3304068532505,ADM,,0.00106212571945989,,,,,,,,,,,,,,,2000
0.000831956834541535,5.24092339613444e-07,0.328375597273861,,0.0326742533417159,7.54106715689432,ADP,,,,,0.999438682280043,0.032654956556256,,,,,,,,,,,2000
-0.00120445041396414,1.94566041395106e-11,1.99560779988478e-06,,0.998764945901102,6.42156233389922,ADSK,,,,,,,,,,,,,,,,,2000
0.0017476285348891,0.00015780325751666,0.307981521259823,,0.090007429657865,7.96745079048538,AEE,,0.0471964621640558,,,,,,,,,,,,,,,2000
0.00191227375768639,4.30602911809338e-05,0.0839908974508674,,1.12950589436106e-13,43.397217997149,AEP,0.0711946707039031,,,,,,0.809927336538217,,,,,,,,,,2000
0.00170996680617913,1.31814624219429e-06,4.36440107729133e-11,,0.998999872886506,25.0857115021938,AES,0.684133385278256,-0.671537570930435,-0.764922449074623,0.63778995506767,,,,,,,,,,,,,2000
0.000844272700268017,0.000295840884296892,0.289546003626581,,0.298087641107083,12.46367598382,AFL,0.053558280504553,,-0.0654240491696781,,,,,-0.115373783629683,,,,,,,,,2000
0.00142284352593754,7.61472055209818e-06,0.0419872174856772,,0.940089140152999,10.7000529263995,AIG,,,,,,,,,,,,,,,,,2000
0.00110701397039452,0.000726015046938982,0.098660285064944,,0.168042883601394,3.54034399431741,AJG,,,,,,,,,,,,,,,,,2000
