mu,ar1,ma1,omega,alpha1,beta1,shape,tick,ar2,ma2,ma3,gamma1,beta2,ar3,alpha2,gamma2,skew,eta11,eta21,ar4,label
0.00113738485637806,0.500892107970089,-0.595211769868526,1.4608234988125e-12,1.32732283869135e-05,0.99895266979189,5.93369428198452,A,,,,,,,,,,,,,2013
0.00295949913991307,-0.855649355017583,0.829685562870376,3.75321497588361e-06,0.00241847824679412,0.988327861934647,5.71858977319441,AAL,,,,,,,,,,,,,2013
0.00072603353217342,-0.898260813707761,0.935323353360546,4.9854887184615e-12,0.00169244190713743,0.995659735379166,5.45468825534256,AAPL,-0.921375609424359,0.915053320031875,-0.0581018072154431,,,,,,,,,,2013
0.000443260986980924,-0.00535720251955846,,8.57315609250612e-06,4.82697122725963e-07,0.89158284813338,4.86855413630349,ABT,-0.0796156885205663,,,0.116473511212637,,,,,,,,,2013
0.00133101714321967,,-0.0409951780574723,1.40599021880684e-08,1.74432895951019e-07,0.99899976194055,8.10627279369348,ACGL,,,,,,,,,,,,,2013
0.000975300428531065,0.0177422220599388,,2.56737672230812e-08,2.19440789586608e-08,0.998999576668884,3.99304636053752,ACN,,,,,,,,,,,,,2013
0.000694425410575351,,-0.229463350765056,8.93521776598363e-07,0.000188260374470266,0.997523592306414,2.8931543916259,ADBE,,,,,,,,,,,,,2013
0.00113831634258228,-0.0853875883124448,,4.94737771191425e-14,0.000459194486866588,0.998537545274155,7.68920153302164,ADI,,,,,,,,,,,,,2013
0.00211967683201154,-0.315294661878151,0.159504330279006,3.23532324574544e-07,5.99505729572579e-09,0.99899996845282,4.20350923815629,ADM,,,,,,,,,,,,,2013
0.00141584067478235,-0.186235186260648,,1.83630791019203e-08,1.87951854387146e-07,0.027839439958038,7.31395668613972,ADP,,,,,0.971159839074264,,,,,,,,2013
0.000953890851758113,-0.0410952265913731,,9.70722084704446e-06,1.23891892157987e-09,0.973545825162466,3.42042998775176,ADSK,,,,,,,,,,,,,2013
0.00101660050387389,-0.0533789829697527,,7.25541564137564e-06,0.0749446027714752,0.841847870480388,17.6546429092249,AEE,,,,,,,,,,,,,2013
0.000735140596914316,-0.0141791309815544,,3.42116862271423e-06,0.0614704140576211,0.355769242798654,6.34448396314799,AEP,,,,,0.54762004160271,,,,,,,,2013
0.00141802041217021,0.818253837552538,-0.849553916876292,1.98676931661415e-07,9.20431539390663e-11,0.998999944629713,5.41702149403784,AES,,0.270089525132356,-0.271725679787944,,,,,,,,,,2013
0.00125685240705883,,,5.75621177246925e-13,0.0132933138303448,0.983742581214758,10.0238944754712,AFL,,,,,,,,,,,,,2013
0.00125844726849387,-0.221138839340942,,0.000192561437106117,0.28238882075034,2.00623017214831e-14,6.84704504730923,AIG,,,,-0.322189769713178,0.0232215052747955,,,,,,,,2013
0.00256798207496359,-0.00551024544668052,-0.138704547174682,2.33974446496523e-09,4.75942577972895e-08,0.99899995106306,10.6168522054575,AIZ,0.643856400810074,-0.663756949415829,,,,,,,,,,,2013
0.0014951052494402,0.0661959468321455,,9.05740641508909e-06,0.0729616953306973,0.803149094478104,12.0491354078675,AJG,,,,,1.85250562695574e-06,,,,,,,,2013
0.000630948858374735,,,4.39101395104771e-06,1.77195059681955e-09,0.987254557882707,3.04314828303077,AKAM,,,,,,,,,,,,,2013
0.000312514563612649,-0.0844562508099327,,9.77994301581631e-07,0.0413703618045879,0.957498207848344,3.25657124219618,ALB,-0.0763284308229688,,,,,0.0548808745210032,,,,,,,2013
0.00168214929232222,,0.0840058621835397,2.8434325531039e-05,0.00308650794852277,0.917401565260099,4.27774032758178,ALGN,,,,,,,,,,,,,2013
0.00249033514543629,,,9.75813584813725e-06,0.0404397682664021,0.940709977130992,4.51585694003244,ALK,,,,,,,,,,,,,2013
0.00146022087671345,0.261784411485798,-0.335779792825652,3.2423179815041e-14,0.000573634826466001,0.0644833447969006,32.1952001323379,ALL,,,,-0.106445234271938,0.966545587862893,,0.0011802795805406,0.0363752923410579,,,,,2013
0.00171001998303203,-0.0124284508571804,,7.1697051589214e-08,4.07416320205724e-10,0.998999989404977,5.30156544386104,AMAT,,,,,,,,,1.1661988279432,,,,2013
0.00262341894097133,,,5.71271950571577e-07,0.402248880811988,0.00653412135325289,2.64919874355577,AMD,,,,,0.214729807641592,,0.119315567250169,,1.07646693760572,0.999900578049903,0.0249449535064051,,2013
0.00152622083046357,-0.0729472556215463,,7.52425158207748e-08,2.75661794996287e-08,0.998999906089919,5.09551033235478,AME,,,,,,,,,,,,,2013
0.000899338637310356,-0.133372304800774,,6.61465418979766e-06,0.0380591251596193,0.93842480342685,5.77054040086012,AMGN,,,,,,,,,,,,,2013
0.00263098284976341,-0.119407646782437,,2.03222491303768e-05,0.0606762626507361,0.815806343670379,13.8321954258677,AMP,,,,,,,,,,,,,2013
-5.22552756534385e-05,0.0513695263285089,,1.17845356582907e-05,0.0651405923692908,0.862594898741538,5.97555208876392,AMT,-0.0450677432428867,,,,,,,,,,,,2013
