mu,ar1,ma1,omega,alpha1,beta1,shape,tick,alpha2,beta2,eta11,eta21,skew,ar2,ma2,gamma1,gamma2,ma3,ar3,ma4,label
-0.000320777323418775,0.792616929889365,-0.854941281168699,3.35521400600391e-07,2.72816546773561e-09,0.998999939374911,17.3323567373382,A,,,,,,,,,,,,,2022
-0.00107490406177285,,,3.18746453661586e-05,0.0411710074264293,0.932825304302415,18.6274317390755,AAL,,,,,,,,,,,,,2022
-0.00134548943848314,,,2.03368658308702e-06,2.96767683672944e-05,0.996304914320821,10.4905935998604,AAPL,,,,,,,,,,,,,2022
0.00144651748156073,,,6.30305766396048e-05,0.154326391764401,0.555529184360752,4.70539086778694,ABBV,,,,,,,,,,,,,2022
-0.00130111354598182,,,0.000158065915004941,0.105081821002197,0.788303405819503,30.6880543609158,ABNB,,,,,,,,,,,,,2022
-0.000825875665722328,,,2.24437867298188e-07,1.90901973602341e-07,0.99899882869691,14.8930550282777,ABT,1.95727059720295e-07,,,,,,,,,,,,2022
0.00138263351383375,,,7.46243763305623e-05,0.229222469919112,0.0409620755784466,10.208108980503,ACGL,,0.486032891337148,,,,,,,,,,,2022
-0.00159795922875867,,,4.34260350457317e-07,2.17864120243735e-08,0.998999830484408,10.6554050804118,ACN,,,,,,,,,,,,,2022
-0.00119216719803809,,,3.2309433794627e-11,9.30732787400784e-07,0.998995090817598,5.74985563574695,ADBE,,,,,,,,,,,,,2022
-0.000801204524984268,,,2.41548026780719e-07,0.0159581406255094,0.255227300793639,14.9179454578138,ADI,0.012070436436281,0.176142577292237,0.999550813309059,0.000635659407970319,1.01089807462401,,,,,,,,2022
0.00266392819438063,,,2.14221684677493e-05,0.0183420561403417,0.945414313949927,3.22654018312224,ADM,,,,,,,,,,,,,2022
0.00017588486237289,,,3.16790519339471e-07,3.05271953942924e-09,0.998999888258947,5.3092472972421,ADP,,,,,,,,,,,,,2022
-0.00254610675857151,,,3.50731086586995e-07,5.28943016624351e-10,0.998999948986999,9.84478569482436,ADSK,,,,,,,,,,,,,2022
0.000533004777322173,,,1.28871733071419e-05,0.0917680939051344,0.847564105389906,6.82839151261678,AEE,,,,,,,,,,,,,2022
0.00122196704098396,,,2.40871036945637e-05,0.133496678304484,0.769291558781665,5.96084306565621,AEP,,,,,,,,,,,,,2022
0.00077312150212151,,,3.32896257449851e-05,0.0453789078619757,0.88808667049481,6.14488035898103,AES,,,,,,,,,,,,,2022
0.0012987934831181,-0.090161464926598,0.199978036199508,5.57675226603234e-05,1.03708303056009e-17,0.610311915093575,86.345260385155,AFL,,,,,,0.571067185270797,-0.576686591436008,0.252018778462687,,,,,2022
0.0017227151349938,,,0.000140565808139453,0.252103019925713,0.427284814171784,15.045007711171,AIG,,,,,,,,,,,,,2022
0.000954392118933975,,,9.42062306334095e-07,5.02212820168812e-10,0.998999986569466,3.312684063205,AIZ,,,,,,,,,,,,,2022
0.000735242649586535,,,1.22145588855978e-07,2.81567086932765e-09,0.998999979088972,12.2232292817175,AJG,,,,,,,,,,,,,2022
-0.000604045926700807,,0.179929626387416,8.98401503524648e-07,0.000135256695567175,0.997799945494969,4.84013174464644,AKAM,,,,,,,,,,,,,2022
0.00062030257251137,,,6.01394327494309e-07,6.51756268090737e-10,0.998999985019079,7.26562990096141,ALB,,,,,,,,,,,,,2022
-0.00370684652527933,-0.806837219104915,0.879620008057588,6.34930764143949e-07,5.3557830215203e-09,0.998999879239727,6.45071773748993,ALGN,,,,,,,,,,,,,2022
-0.000323056861277165,,,0.000150674526231303,0.0357751249638294,0.133473021747668,15.4142887819669,ALK,0.0839506028026614,0.520511579384691,,,0.907626724843125,,,,,,,,2022
0.000927107771708381,,,0.000296331618173342,1.39426099527967e-08,3.5126640157443e-13,5.90883883704778,ALL,0.0822962324529673,,,,,,,,,,,,2022
-0.00100797074698982,,,6.20044950635211e-07,3.79397951452547e-09,0.998999947328581,10.5486430973054,ALLE,,,,,,,,,,,,,2022
-0.00184444910470282,,,7.51694843478755e-07,5.59372725109114e-09,0.998999838612678,59.9992325379918,AMAT,,,,,1.01133123945042,,,,,,,,2022
0.000100979439103457,,,3.95996356950772e-07,1.5637418060189e-06,0.998969568874617,5.11577762399018,AMCR,,,,,,,,,,,,,2022
-0.00295193780156653,,,1.75685738588213e-07,2.35081864976017e-10,0.998999987119502,13.3541779567086,AMD,,,,,,,,,,,,,2022
-0.000110965070662723,,,2.77123769745421e-06,1.00118848437368e-06,6.10150453044748e-08,59.9990616735758,AME,,0.945903652992027,,,0.941072563564778,,,0.0824265042311573,,,,,2022
0.000304436188281428,,,2.82359397209235e-07,7.22492918226509e-10,0.998999915145685,3.50951119456401,AMGN,,,,,,,,,,,,,2022
0.000214754352280835,,,3.3161006593992e-08,7.41030316806407e-08,1.0817115326178e-05,12.0514877490954,AMP,,0.998989104310466,,,,,,,,,,,2022
-0.00127997028288426,-0.659817745189513,0.800023597726254,2.26567986417608e-05,1.47459527413896e-08,0.895450833711582,7.29141554860065,AMT,,,,,,,,0.0942917593414041,,,,,2022
-0.00279685506038558,,,6.97799565445011e-07,2.28390228328946e-09,0.998999931742725,5.84576216556306,AMZN,,,,,,,,,,,,,2022
-0.000720670384831379,,,6.12523935881311e-05,0.0497991436456601,0.866443672153068,59.9054757058297,ANET,,,,,1.11120530356597,,,,,,,,2022
-0.00217752749111886,,,3.96064661747695e-07,3.44698841286877e-08,0.998999861595554,41.596571329886,ANSS,,,,,,,,,,,,,2022
