mu,ar1,omega,alpha1,beta1,shape,tick,ar2,ma1,ma2,eta11,eta21,beta2,alpha2,skew,gamma1,gamma2,ma3,ar3,ar4,ma4,ma5,ar5,ar6,label
0.00331401180747597,0.000506295339309088,2.38066635028385e-10,0.00104445693452267,0.994573486863463,4.6341343083261,A,,,,,,,,,,,,,,,,,,2003
0.000936554826536887,1.45122348224171,9.31092511354105e-07,0.0942519196287992,0.0271934484834516,6.71709070050899,AAPL,-0.888681570402324,-1.53057951359499,1.00939126444611,0.998035769995618,0.00138362274020768,,,,,,,,,,,,,2003
0.000868244113012332,,4.48545429206169e-12,0.0187730242657696,0.978012902477938,13.2434686793538,ABT,,-0.109550200110623,,,,,,,,,,,,,,,,2003
0.000963408490591111,,0.000127318375772935,0.237131672308215,0.202649839912981,4.32928027402215,ACGL,,,,,,1.74501646545807e-11,,,,,,,,,,,,2003
0.0013680032130947,,7.2457191930183e-13,0.0262184611851111,0.969788932677607,7.18043450028449,ACN,,,,,,,,,,,,,,,,,,2003
0.00226079054452454,,5.34659700944061e-07,8.25488720805368e-07,0.998248019037767,5.89762307754735,ADBE,,,,,,,,,,,,,,,,,,2003
0.00213563838920809,-0.00850962822620412,7.799164608297e-12,8.45942120023439e-06,0.984775811237806,13.9852795844616,ADI,,,,,,,0.0125406645158254,,,,,,,,,,,2003
0.00129039568498258,,3.09345401601993e-05,0.16086544814309,0.688517668303889,15.2792325398538,ADM,,,,,,,,,,,,,,,,,,2003
0.000833054872105778,-0.100156409846008,2.07178892954426e-11,0.00691341491978157,0.989521708477003,5.00763296259914,ADP,,,,,,,,,,,,,,,,,,2003
0.00121036106887499,,1.7520254979308e-12,1.90806962011941e-05,0.997791771075333,5.46440857939372,ADSK,,,,,,,,,,,,,,,,,,2003
0.000928570379668795,-0.649744047051698,1.3557412215282e-05,0.187102293845985,0.651304423574478,6.3360488865611,AEE,,0.554971302536374,,,,,,,,,,,,,,,,2003
0.00105475136242232,0.214925810562416,9.63116724958347e-06,0.122671815113793,0.832725845780619,10.6835001359922,AEP,,-0.254392097531692,,,,,,,,,,,,,,,,2003
0.00358367664382175,-0.0885282529644494,5.98247803065865e-06,0.0292040245554155,0.961160596775504,6.58513068929857,AES,0.012227610959541,,,,,,,,,,,,,,,,,2003
0.00100634485351189,-0.108377439695415,2.10877755357702e-12,4.64402892093512e-05,0.997587663044709,4.95462597974437,AFL,,,,,,,,,,,,,,,,,,2003
0.00101337636915637,,9.77538701166476e-07,0.0309692258818319,0.961054639517164,11.3851236521006,AIG,,,,,,,,,,,,,,,,,,2003
0.00118357029049943,,1.2559330262231e-14,7.94516950321874e-05,0.998212031223577,4.32702921705672,AJG,,-0.158512992043733,,,,,,,,,,,,,,,,2003
0.00325556648639624,,0.0019170467971655,0.284915545836954,0.195867892925895,4.91232577221808,AKAM,,,,,,,,,,,,,,,,,,2003
0.000464997736775419,0.588910624825812,2.35896854315167e-06,0.026752656424811,0.960387739596136,9.25990952594448,ALB,-0.678236155996013,-0.752236703171562,0.810690823415305,,,,,,,,,,,,,,,2003
0.00561991188511092,-0.69468708330944,6.40074055395256e-07,2.25155138958271e-09,0.998999966810119,6.31455575043957,ALGN,-0.0478332401401452,0.773274619184321,,,,,,,,,,,,,,,,2003
0.00141321265077479,,2.98537088347229e-05,0.0684533896139901,0.89093395920191,8.95537150659137,ALK,,,,,,,,0.933376515594267,,,,,,,,,,2003
0.000862475665597236,0.0628464183710672,1.47084397504412e-12,0.0114054136909872,0.984929930667908,5.29631059569563,ALL,,,,,,,,,,,,,,,,,,2003
0.00204505158309895,-0.3540770434758,1.43755865638552e-07,1.58501282178541e-08,0.998999976467705,20.5603418915048,AMAT,,0.386747678240464,,,,,,,,,,,,,,,,2003
0.00336647233021369,0.116127133901427,2.68698585296726e-06,7.91988965336274e-06,0.996619052136375,4.52158642861985,AMD,,,,,,,,,,,,,,,,,,2003
0.000608988624788914,,3.52386649770686e-06,0.0195387106796186,0.961751748539324,5.42500171335592,AME,,,,,,,,,,,,,,,,,,2003
0.00102308284232071,0.491580968381474,2.34988968658932e-07,2.45482706980161e-09,0.998999960484005,22.9893001861196,AMGN,,-0.648535945313284,,,,,,,,,,,,,,,,2003
0.00338228460104757,-0.476347257552791,3.04329986173271e-05,0.0551668506029225,0.914555777977874,5.6417412213751,AMT,,0.419970385318979,,,,,,,,,,,,,,,,2003
0.00337076893686166,,9.83077437456329e-07,2.28988459212253e-09,0.998999723106808,3.87909660973942,AMZN,,,,,,,,,,,,,,,,,,2003
0.00168391212787358,,2.47194298009211e-06,1.16734667965597e-09,0.998999977387833,2.88666143525294,ANSS,,,,,,,,,,,,,,,,,,2003
0.00133792217006667,-0.0430453835922336,2.04420331161093e-13,5.42000018066308e-05,0.999884832370254,7.32357689436832,AON,,,,,,,0.00840015537444516,,0.348385023382759,-0.369511466417558,,,,,,,,2003
0.000497172158278671,0.0807070048944701,5.89524152636046e-06,1.69022199436947e-06,0.982383585569846,3.92201151173507,AOS,,,,,,,,,,,,,,,,,,2003
0.00164816537170542,-0.00556045328554727,5.52263547732774e-11,0.00611799841645299,0.992093069363723,36.9896883924741,APA,,,,,,,,,,,,,,,,,,2003
0.000947262968950633,,8.38502596268214e-12,0.0235766352493492,0.0929566741995725,9.62972780819889,APD,,,,,,0.878599902873084,,,,,,,,,,,,2003
0.00135585240769175,-0.0552343926129613,3.82744509792078e-12,0.018355796617624,0.978682628844781,8.23611047930244,APH,,,,,,,,,,,,,,,,,,2003
