mu,ar1,ma1,omega,alpha1,beta1,skew,shape,tick,ar2,ma2,eta11,eta21,alpha2,beta2,ar3,ar4,gamma1,ma3,gamma2,ar5,ma4,label
0.000809283103779548,0.757771774812525,-0.846548607224,6.43164593129606e-07,0.0315065467195803,0.963567162558584,0.792541914557269,4.31500696493843,A,,,,,,,,,,,,,,2016
0.00109298703718119,,,5.17004594659312e-05,0.0652238955252394,0.832711490695265,,5.29230540772281,AAL,,,,,,,,,,,,,,2016
0.000852429780128849,,,3.22211774219078e-05,0.201193755036206,0.695379680896444,,3.34454081704487,AAPL,,,,,,,,,,,,,,2016
0.000579643932292847,-0.297377014024593,0.224038145500832,1.07621709679652e-05,0.154260528612947,0.817153146997332,,4.51672947154278,ABBV,-0.428348305700174,0.353286413800284,,,,,,,,,,,,2016
0.000670006790942733,-0.0512115997957823,,1.92328975250843e-05,0.0750271373674166,0.833285933894791,,3.63049929822653,ABT,,,,,,,,,,,,,,2016
0.000791692578025523,,,1.92249529087089e-07,0.220229474832266,0.241325439210231,,3.55930602350077,ACGL,,,0.998662201569659,0.00411120613198269,,,,,,,,,,2016
0.000924712315271911,,,2.12964035542477e-05,0.133496894560439,0.784677017475042,,3.11157620557948,ACN,,,,,,,,,,,,,,2016
0.000657219602270533,,,3.14614530628507e-05,0.182016277868473,0.700160196808534,,3.64770951893659,ADBE,,,,,,,,,,,,,,2016
0.00128184937606274,0.343596640025677,-0.326783364954449,3.78975464384653e-05,0.118931599878317,0.715151148914324,,3.96656597826455,ADI,,-0.0181269285315388,,,,,,,,,,,,2016
0.000351606589206157,,,3.64396040159213e-05,0.172484398464604,0.733724128858328,0.841788629193514,4.63901603242539,ADM,,,,,,,,,,,,,,2016
0.000916122254704021,-0.187554092177162,,2.65826261677127e-05,0.277820706169276,0.565226673510877,,3.44319409440451,ADP,,,,,,,,,,,,,,2016
0.00161464220102477,,,4.32911539592708e-05,0.138984430631557,0.783280910789353,,4.1244804649854,ADSK,,,,,,,,,,,,,,2016
0.00162099468288982,-0.87290536414752,0.941334344227677,2.47313626926057e-07,5.28769157089564e-06,0.998987541587963,,4.62226160096433,AEE,,,,,,,,,,,,,,2016
0.0011003183242017,,,1.42127457121999e-05,0.0573030896356296,0.835125388070626,,5.80870347879262,AEP,,,,,,,,,,,,,,2016
0.000404395991856894,,,2.41638713459176e-05,0.13703091315685,0.791332756793983,,29.0945932865424,AES,,,,,3.15811003986011e-08,,,,,,,,,2016
0.000390012163473166,-0.417324758636271,0.262724420330054,3.06505462687138e-05,0.23739774260892,0.476975647502447,,6.0685113582603,AFL,,,,,,,,,,,,,,2016
0.000457604764115648,,,2.9040255106001e-05,0.301521775981885,0.606010430336404,,3.45759054257071,AIG,,,,,,,,,,,,,,2016
0.00101775953538523,,,3.77152183950968e-07,0.000202622294982468,0.994211708232614,,3.44670784268684,AIZ,,,,,,,,,,,,,,2016
0.0010604376565172,-0.116357520494244,,2.9596150766054e-05,0.31573566884289,0.155393382953975,,8.0423983589216,AJG,,,,,,0.265832506723091,,,,,,,,2016
0.00168427174687986,,,5.29149125669492e-12,6.2029621480126e-06,0.995118344776196,,3.81940622432675,AKAM,,,,,,,,,,,,,,2016
0.00209051448225307,0.744611140422066,-0.892784165393486,0.000102806388020867,0.19173444991439,0.537970180638716,,4.92825290922145,ALB,0.108757542167595,,,,,,-0.000221937096866033,,,,,,,2016
0.00220076108402716,-0.105139994750764,,1.71289757330269e-05,0.0374445368920903,0.899591421660491,,3.53337494898633,ALGN,,,,,,,,,,,,,,2016
0.000794959124865476,0.856441671342837,-0.814588464080674,2.20868976483643e-05,0.0332363975632056,0.898535580766037,,6.05212843509145,ALK,,,,,,,,,,,,,,2016
0.00073298625498559,0.951083021970239,-0.999999989864962,7.59228261826747e-06,0.127270242835278,0.796208869997205,,3.74736116079454,ALL,,,,,,,,,,,,,,2016
0.000339667159154913,,,1.54381906783086e-05,0.141856785433831,0.780704849592532,,4.69159317102593,ALLE,,,,,,,,,,,,,,2016
0.00190411205757444,,,2.73600685136256e-06,1.20968905330546e-05,0.988420310961156,,4.20007755830345,AMAT,,,,,,,,,,,,,,2016
0.00353303189080075,-0.87635266137783,0.790114052933783,5.58058790865388e-07,1.61176714670173e-06,0.997447183008596,,4.10976778353819,AMD,,,,,,,,,,,,,,2016
7.70839418149653e-05,,,4.43590139678602e-07,0.193242555909411,0.576778401013231,,4.96793540316318,AME,,,0.997546732025194,4.57979016279779e-05,,,,,,,,,,2016
0.000123716275083802,,,3.62834615680433e-05,0.146116010959051,0.701675906709322,,4.1685947107867,AMGN,,,,,,,,,,,,,,2016
0.000422445920379823,,,0.000122261488352639,0.316227616143242,0.412987944562681,,4.32736879397292,AMP,,,,,,,,,,,,,,2016
0.00121885969500682,,,1.00020679956084e-05,0.102837254844602,0.840998240065773,,4.18654381660302,AMT,,,,,,,,,,,,,,2016
0.000485229510917475,-1.81318877203376,1.93945661650592,3.4433835800138e-06,0.101245799822789,0.501410144820868,,3.5779474423304,AMZN,-0.852820653180243,1.05409046301681,0.998031422846669,0.09364869911583,,0.306089601684823,0.0754238250313123,,,,,,,2016
0.00189545832889896,,,4.4011161435067e-06,0.0938353161438223,0.180861239026416,,3.045414793466,ANET,,,,,,0.722366266471086,,,,,,,,2016
0.000875527366138643,,,3.28557821483996e-05,0.213680129991509,0.53084042959603,,3.98749100546306,AON,,,,,,,,,,,,,,2016
-0.00232187086059357,0.988532406303811,-1.01655621595606,1.75178095382068e-05,0.117158096845535,0.796727670954988,,6.1014095615503,AOS,,-0.0135604338303022,,,,,,,,,,,,2016
0.000331107346408155,-0.0621065648621041,,1.11836511637391e-11,0.0387901189013588,0.958201861500947,,5.09047358756069,APA,-0.127519785740316,,,,,,0.0243654388173754,-0.00882358365743011,,,,,,2016
