mu,ar1,ar2,ar3,ma1,omega,alpha1,beta1,eta11,eta21,shape,tick,ar4,ar5,ar6,skew,gamma1,beta2,alpha2,gamma2,ma2,ma3,ma4,ma5,label
0.0020875041299453,-0.28432654444917,0.0253119020782446,-0.0680673081317098,0.206195598477086,5.52305292955149e-07,0.368199236224363,0.58006523412666,0.999743858561905,0.0203182046295397,2.69832187092569,A,,,,,,,,,,,,,2019
0.000402656744246945,-0.203792467525972,-0.0014837932573786,,0.330276626366149,1.31508153369318e-07,8.27044487236378e-08,0.998999773251946,,,5.93776472018036,AAL,,,,,,,,,,,,,2019
0.0031503766620809,0.253202205223494,-0.0504913113949096,,-0.364828461257097,3.04087813372665e-11,0.003899502983259,0.994126158654866,,,3.97060372371187,AAPL,,,,,,,,,,,,,2019
0.00097739209698619,0.0773118142200512,-0.059119224433708,-0.112701199964584,,5.93352135883363e-06,0.00801036444190159,0.95330724180985,,,4.39734244428415,ABBV,,,,,,,,,,,,,2019
0.00141957237398732,-0.717405108402813,-0.121338111451582,-0.119422590894521,0.688712756823743,1.64975430530893e-06,0.240079141283457,0.0853827801445173,0.997177749033239,0.0853827770447463,4.53443991175822,ABT,-0.0161049719111625,-0.101425535593119,-0.182383326711884,,,,,,,,,,2019
0.00167501982206724,0.0132327873936417,-0.0812089301118957,-0.0668633225772319,,1.15343690218028e-07,0.225335974556374,0.09588312596688,0.999058671899781,0.0010276353340443,7.01362960700557,ACGL,,,,0.854498842641942,,,,,,,,,2019
0.00205301007984528,-0.0334003722361309,-0.13911087584051,-0.0494131865930815,,2.58029098634101e-05,0.113113140086736,0.633651799325431,,,4.46895710252371,ACN,,,,,,,,,,,,,2019
0.0018447472883065,-0.0504798053450321,-0.108894151545904,-0.00558851720721526,,2.96347640160094e-05,0.091473431066427,0.776957497843636,,,4.58515788015265,ADBE,-0.137475699339017,,,,,,,,,,,,2019
0.001521072133334,-0.0782827583766208,-0.0934018735327708,,,1.99859545211267e-05,6.86220064800717e-09,0.874286613903577,,,7.98452112771188,ADI,,,,,0.114665393862605,,,,,,,,2019
0.00128631885611349,,,,,4.6476498795989e-05,0.299560700606564,0.524805296699343,,,3.24008619420163,ADM,,,,,,,,,,,,,2019
0.000926567715120802,-0.0747186864548592,-0.0742410178666295,0.0157154713103159,,2.99143548103644e-05,0.1085420110156,0.660803504752408,,,5.03284593966364,ADP,,,,0.776008934784962,,,,,,,,,2019
0.00179264411504339,0.904647058733542,-0.0563107763177838,0.0385087004565053,-0.875381916129275,1.44251094232146e-05,0.0340321951347349,0.923980873776269,,,4.83317728567826,ADSK,,,,,,,,,,,,,2019
0.000863268249468021,0.819065682484123,-0.159963682844665,,-0.745619278782557,2.96660709884016e-16,0.00180656544860373,0.295083074607503,,,11.6766408471581,AEE,,,,,-0.0477424954927195,0.72539429939895,,,,,,,2019
0.00108910517786116,0.756918827715778,-0.107716417464098,,-0.775640554761187,4.20269385365515e-08,1.03272798770849e-06,0.998997950682103,,,18.6095099995982,AEP,,,,,,,,,,,,,2019
0.00206311505718174,0.0578623665544633,,,,5.22689957077616e-05,0.254311762925808,0.416572584334001,,,63.7969316891339,AES,,,,,,,,,,,,,2019
0.00147748198125545,-0.0736711822247135,0.00222559986369653,,,2.90899416894271e-05,0.167253356044199,0.514743480626499,,,3.80765159808361,AFL,,,,,,,,,,,,,2019
0.000799372407027885,,,,0.0436051171522425,3.91384432159355e-12,0.00142549502590431,0.999842678573792,,,5.21954505734797,AIG,,,,,0.269672415330419,,0.000899503829356815,-0.277313821905719,,,,,2019
0.00191406862083462,-0.620157494563274,-0.749402599012315,,0.583492533492926,1.74842892250763e-08,4.43573190002908e-09,0.998999943518865,,,4.38049917308763,AIZ,,,,,,,,,0.647493446205744,,,,2019
0.000829322141154472,-0.0838463893975851,-0.0954221754095919,-0.184031001968272,,2.20334030009257e-05,0.240634846138259,0.555857377128034,,,7.94918551135764,AJG,,,,0.727717774581847,,,,,,,,,2019
0.00126986275519711,0.480845985026818,-0.127819377283932,-0.0283093102070297,-0.498190113979053,3.87122959907921e-05,0.124683593447508,3.4199610687253e-12,,,8.81466111394982,AKAM,,,,0.785933758984928,,0.649587315071655,,,,,,,2019
0.00054523429749716,-0.0143377797245508,0.0423908977741132,0.0145929558520258,,6.87413788870091e-05,0.11177119412962,0.75493844116254,,,5.18702398032685,ALB,,,,,,,,,,,,,2019
0.00230945331456286,,,,,2.46373567469842e-13,0.00104574409645638,0.993498137937798,,,4.21494797086514,ALGN,,,,,,,,,,,,,2019
0.000767598414654651,-0.0610002027254272,0.0544590263131014,0.012120564516756,0.0352590987835787,5.485769273226e-08,7.1742651194972e-11,0.998999997405921,,,11.3835293377854,ALK,,,,,,,,,,,,,2019
0.00136178945741237,-0.198804881310445,-0.0557468425151044,-0.0613003450932381,,4.71206787549519e-05,0.00920104786813926,0.295413377402158,,,4.41206708937594,ALL,,,,0.851081487574104,,,0.203177669196435,,,,,,2019
0.0018600542874755,-0.0561879930001521,0.0375812303919719,,,2.20237787652315e-08,5.72117074612044e-09,0.998999936741606,,,5.92258193664828,ALLE,,,,,,,,,,,,,2019
0.00169957347817138,-0.864212017045588,-0.0700595709944912,-0.1141946066346,0.811827654583084,4.776830127807e-05,0.00733512758430164,0.852667425926763,,,4.41318306851096,AMAT,-0.0927931191080556,,,,0.088654227604162,,,,,,,,2019
0.00264020159180895,0.527093315544213,-0.0967759053179962,-0.0801020322961518,-0.508522866226547,8.64689174614286e-15,2.6283519304256e-05,0.997945326599802,,,3.85207467197065,AMD,,,,,,,,,,,,,2019
0.0017987527338805,-0.935056629710663,-0.122982638719374,-0.190420888839134,0.961079568115303,2.97940897079581e-06,0.0624191622039569,0.914321464400829,,,6.59301997501748,AME,-0.095963902844873,,,,,,,,,,,,2019
0.00130158531987073,0.0795442101718492,0.0292142637625229,-0.0559829992678921,,5.33622958518491e-06,0.0482863536744919,0.916840359113023,,,4.20308044323924,AMGN,,,,,,,,,,,,,2019
0.00243562875777593,-0.8936418391006,,,0.818178536631578,1.51675176831914e-05,0.110826767620107,0.842959303412026,,,4.14774464758681,AMP,,,,,,,,,,,,,2019
0.00192777952340592,,,,,5.95165529814529e-05,0.0565888033453695,0.269422696542476,,,35.4298185802332,AMT,,,,,0.414952170243459,6.68774572559033e-10,,,,,,,2019
