mu,omega,alpha1,beta1,eta11,eta21,shape,tick,ar1,ar2,ma1,ma2,alpha2,gamma1,ma3,beta2,ar3,gamma2,ar4,skew,ma4,ma5,label
0.00115451983273804,7.34217326107982e-06,0.15829430947724,0.1845997488365,0.981085176861212,0.0417033991360852,4.03468799785459,A,,,,,,,,,,,,,,,2006
0.000933908394961256,1.08819975960784e-06,1.4087166817496e-08,0.99899944628656,,,6.5453791305706,AAL,,,,,,,,,,,,,,,2006
-0.000248865868473226,4.5023266237487e-13,0.000515296106500119,0.997736769353764,,,8.97422482024275,AAPL,,,,,,,,,,,,,,,2006
0.00043272156754759,9.00212146052631e-12,7.85879182502686e-05,0.998871218523806,,,6.16264414009685,ABT,,,,,,,,,,,,,,,2006
0.000764042258274546,3.04928486396425e-08,0.541674800466479,0.0669548018145398,0.999872925691369,0.0252302466420816,7.64324428788098,ACGL,,,,,,,,,,,,,,,2006
0.000705348903202005,2.88506041547689e-07,1.28705165932848e-09,0.998999970332626,,,4.83758310436003,ACN,,,,,,,,,,,,,,,2006
-0.000248613583579147,3.35440187746913e-07,7.76764850777576e-06,0.998674470664631,,,4.0016409792589,ADBE,-1.13848767923781,-0.816708844223918,1.19534793157107,0.762965636731275,,,,,,,,,,,2006
0.000193684135901263,2.47331281860125e-14,2.20743146767927e-05,0.998107067255665,,,4.57727782118666,ADI,0.652631505164474,,-0.743690002896596,,,,,,,,,,,,2006
0.000321947430234513,0.000387647852993927,0.171671426118027,4.27262779413402e-10,,,6.725975478913,ADM,-0.529164115324975,-0.948580777917569,0.500080168556641,0.881868702600129,0.0568926075455316,,,,,,,,,,2006
0.000288839363179039,1.2049660821512e-08,1.2824895192158e-08,0.998999985383731,,,6.69363831767225,ADP,,,,,,,,,,,,,,,2006
-0.00155772406451642,5.07378388620432e-06,6.13782029753224e-09,0.947373443346409,,,5.898352123429,ADSK,,,,,,0.103252587738823,,,,,,,,,2006
0.000337608346091442,8.80914086164705e-16,0.00557205975441302,0.972852522337594,,,46.4059525412845,AEE,,,-0.129976437909988,-0.0701343420950453,,0.0361833359676314,0.0971308960135735,,,,,,,,2006
0.000587759248450192,8.14884830888657e-08,0.000130958817196358,0.0150790365358981,,,9.86728104228377,AEP,0.387614526113332,,-0.425508705150589,,,-0.0208265058125633,,0.994132450579749,,,,,,,2006
0.000324433574039933,8.23249139523264e-07,0.00260642067200891,0.999504727276226,,,5.05006698954918,AES,0.0605205540112185,-0.0673806034858248,,,0.00998104102262743,0.27695216807763,,,-0.10143711994706,-0.323475247122868,,,,,2006
-0.000132639194264729,2.32810206542521e-05,0.157643516245538,0.614429794266655,,,4.36471228473648,AFL,-0.0483462784695643,-0.122887183051559,,,,,,,-0.0584379305820745,,0.0382703450808131,,,,2006
0.000486187136418359,4.05757925212842e-14,0.00105580912222126,0.996626062040511,,,6.66359871696846,AIG,0.122947503019734,,,,,,,,,,,,,,2006
0.000837799538286011,2.19223721614025e-12,0.0280451512499511,0.0174050388709069,,,5.18328392450436,AIZ,0.776941081052177,,-0.86118730632575,,,,,0.947725641207184,,,,1.1288260346695,,,2006
0.000156521612259301,5.19633375107039e-13,3.41043952155667e-05,0.997303352865,,,3.44502478596896,AJG,,,,,,,,,,,,,,,2006
0.00170565775690553,0.000477297615952425,2.59336663542607e-16,0.461790350351196,,,3.54421519287485,AKAM,-0.056205460157073,,,,0.13214082164351,,,,,,,,,,2006
0.0013983677955642,5.42166324285346e-12,1.9568942826377e-05,0.998303445328325,,,4.31610970542628,ALB,0.0817813897110455,-0.0224324027662941,,,,,,,,,,,,,2006
-0.000697802328831013,0.000226937948046528,0.124163529406644,0.622614161267501,,,3.55982207840939,ALGN,0.10295238739167,,,,,,,,,,,,,,2006
0.000805156515134983,3.90663293173588e-07,0.0567589930558375,0.851965942977509,0.999291645168108,0.000291993882189841,19.3712722925896,ALK,,,,,,,,,,,,1.02340125053978,,,2006
0.000644836816144774,7.06005426589324e-13,0.000454849314423788,0.998022606962836,,,4.62529750165861,ALL,0.10636525418715,,,,,,,,,,,,,,2006
0.000328583513710877,5.48787551256116e-08,1.5150535651929e-08,0.998999983272291,,,15.5876114984896,AMAT,,,,,,,,,,,,,,,2006
-0.00205593537911137,1.74542635685807e-11,4.6686563165269e-06,0.998565091152622,,,4.93895022009437,AMD,,,,,,,,,,,,,,,2006
0.000339877138182887,4.53676098951369e-05,1.41057774263755e-12,0.738441706855924,,,4.85352084447215,AME,,,,,,0.142944467633085,,,,,,0.953915239447882,,,2006
-0.000421156759949483,2.19359594095663e-12,0.000645387522890195,0.0339286395985043,,,6.4605932572314,AMGN,0.841306591324612,-0.970616250499817,-0.84418637061428,0.921893998760734,0.024113938035417,,,0.936097196214919,,,,,,,2006
0.00156491837691983,1.41734656336589e-11,5.24375474800673e-05,0.944106430534422,,,4.94797722811724,AMP,0.834204088189788,,-0.821829427719034,-0.0825941283908959,0.054815766758755,,,,,,,1.12620670992178,,,2006
0.00130356989675337,8.32057692486218e-06,0.0883676660235817,0.881388859512704,,,11.8944460573006,AMT,,,,,,,,,,,,,,,2006
-0.000197167165670473,1.91755012078328e-05,0.00889026614593661,0.963115626350631,,,3.02001304698883,AMZN,,,,,,,,,,,,,,,2006
-0.0017280900518655,8.11104392571617e-12,8.53485074269861e-06,0.998578065014532,,,4.77393158127719,ANSS,0.0901772659025163,-0.112591350644447,,,,,,,,,,,,,2006
0.000129896021656526,3.99287852120427e-12,0.00652032163724926,0.990486583016611,,,3.45409077250942,AON,-0.0628544799475651,,,,,,,,,,,,,,2006
