mu,omega,alpha1,beta1,shape,tick,gamma1,ar1,ar2,ar3,alpha2,skew,beta2,gamma2,ma1,ma2,eta11,eta21,ma3,ar4,ma4,ar5,label
0.000534234552221791,2.11958570931377e-13,3.5585464469458e-05,0.997630222122188,5.65295842556343,A,,,,,,,,,,,,,,,,,2005
0.00312982761400521,0.00018218247191978,2.06401077233581e-14,0.60452446771054,5.96375623073554,AAPL,0.193704542781642,,,,,,,,,,,,,,,,2005
-0.000353939118527092,1.06584704840626e-05,0.12736210865028,0.810901351278939,3.63423219052557,ABT,,,,,,,,,,,,,,,,,2005
0.000993581455101776,7.10962615495148e-05,0.679488163010393,0.109857995290035,10.5937395685484,ACGL,-0.487726298296584,0.0507974971286257,,,,,,,,,,,,,,,2005
0.000357720005464962,0.00014337018485073,0.170145194339982,0.113520406934078,4.60628155141703,ACN,,-0.0531907223744213,-0.0128453011806302,-0.0627158071527097,0.00755526059090526,1.07240372582137,,,,,,,,,,,2005
-0.000666086606695357,0.000368146432715268,0.109030524557009,5.40599966027233e-11,3.37029700815543,ADBE,0.379547788589882,,,,,,,,,,,,,,,,2005
-0.000713581917015221,3.52552922431142e-07,6.70290609385917e-06,0.998518797675397,6.98468007397079,ADI,,,,,,,,,,,,,,,,,2005
0.00154744524725245,5.15657462254961e-08,2.38755473145598e-09,0.998999750070593,3.11031851933715,ADM,,,,,,,,,,,,,,,,,2005
-0.000368696169496913,2.05895170101353e-07,0.000569652622751496,0.9957676741309,4.10572816499673,ADP,,,,,,,,,,,,,,,,,2005
0.00151614099881565,5.90862038411237e-06,9.87962757435554e-10,0.985698568814679,4.70567170258824,ADSK,,-0.0584101282611815,-0.0261573604063164,,,0.940010203921799,,,,,,,,,,,2005
0.000704766294289114,3.63263654290747e-06,0.06129776773898,0.890329578350229,9.82129336375662,AEE,,-0.00578971792813205,-0.118577562854745,,,,,,,,,,,,,,2005
0.000932206634583933,1.70471264151211e-05,0.251231207232759,0.615907256517506,5.45537533462353,AEP,,,,,,,,,,,,,,,,,2005
0.000749814375620316,2.1498849872761e-07,0.00452545931374174,0.928301548397419,13.5586269988889,AES,0.256974928649202,,,,0.00250659440968972,,0.0952958357340246,-0.321134250806227,,,,,,,,,2005
-0.000169513350794274,1.5509811907986e-13,0.000163754504293343,0.997708893319105,4.23044162534333,AFL,,,,,,,,,,,,,,,,,2005
0.000555471139323663,6.50134487974151e-06,0.0937271772902069,0.872716461728175,4.87358530170189,AIG,,,,,,,,,,,,,,,,,2005
0.00106643864066544,2.32400129862595e-11,7.84036925107954e-05,0.998707896011071,6.66072005372562,AIZ,,,,,,,,,-0.162142361599192,,,,,,,,2005
1.09453316906271e-05,4.48714520650533e-08,1.03003617374839e-07,0.998999762102189,12.5957611052236,AJG,,-0.804058513889159,-0.0964167258473374,,7.70594004589232e-08,0.993980738635619,,,0.785270647843684,,,,,,,,2005
0.000236622619946957,3.97401926948465e-06,0.000162572463584473,0.991229086183504,4.73394266670858,AKAM,,,,,,,,,,,,,,,,,2005
2.02419527371125e-05,2.53844939357388e-05,0.109156858793306,0.800541884985037,3.99094611733318,ALB,,-0.027502814749536,-0.0798183286197743,,,,,,,,,,,,,,2005
-0.00265574375036501,4.87638177440068e-07,1.37621308572068e-08,0.998999856345391,3.85501953605395,ALGN,,,,,,,,,,,,,,,,,2005
0.000275728465894533,2.94794104577564e-07,1.43926204572031e-09,0.998999870704657,16.1448726695208,ALK,,0.293214497210508,-0.0658229911681723,,,,,,-0.333641864068987,,,,,,,,2005
0.000171654598365064,7.28641398025221e-06,2.15146083135922e-08,0.892084115759,6.61236277712672,ALL,,,,,0.0314860452861587,,,,,,,,,,,,2005
2.70234299079463e-05,2.24995354492555e-08,2.57357022105069e-08,0.998999971993275,19.4003477698815,AMAT,,,,,,,,,,,,,,,,,2005
