mu,omega,alpha1,beta1,shape,tick,ar1,ar2,ar3,ar4,ar5,ar6,ma1,ma2,ma3,ma4,ma5,skew,beta2,gamma1,alpha2,gamma2,eta11,eta21,ar7,ar8,ar9
0.00320351748590145,8.97035938798957e-05,0.261475155641781,0.647579889231942,3.05585764408577,AAPL,,,,,,,,,,,,,,,,,,,,,
0.000599073837061034,1.8904570167933e-05,0.0850557364576432,0.869570811487914,5.4588521692455,ABC,0.449338523406709,0.48781342743555,-0.567002018728728,-0.620142590988488,0.413351719755295,-0.0869214701134901,-0.52935244413059,-0.516279819727893,0.532081815902783,0.677979252855214,-0.492491313422157,,,,,,,,,,
0.000497416639006377,8.84047233627736e-12,0.00531033642135143,0.993537542058092,3.42160794105406,ABMD,,,,,,,,,,,,0.857291462332908,,,,,,,,,
0.000980498645958637,8.2201171473993e-06,0.220501409557291,3.91989914840953e-17,7.704889992906,ABT,-0.653269227285624,0.430780992469402,0.607861034181584,-0.162162645345635,,,0.549386962631122,-0.556406935970894,-0.666639660569273,0.253875587644025,,,0.708154120650277,0.109979927549936,,,,,,,
0.00221523049368733,1.74545515041618e-05,0.0814586171232099,0.790649919186889,4.76981116957291,ADBE,0.929152084522352,-0.454068613633618,-0.174007352962967,-0.016183454201095,,,-1.09488643878522,0.631544033901191,,,,,,0.201198205329224,,,,,,,
0.00127734946887128,1.54872401088467e-05,0.0167666377010506,0.879850830144172,6.21753533733159,ADI,-0.153843124620445,-0.03655633709952,,,,,,,,,,,,0.134437009909382,,,,,,,
0.00115765216751241,1.21406021886197e-05,0.196664156148375,0.802335841248718,3.66077926216675,ADM,-0.679069186642034,-0.356890340867034,,,,,0.631538913098441,0.428530386096799,,,,,,,,,,,,,
0.000399208109690116,3.44369658300311e-05,0.135113479595511,0.0425100724853246,4.26297237715974,ADP,,,,,,,-0.131737016195589,0.00199507689438139,,,,0.773278239833439,0.490823691945594,0.00818546144945469,0.172076061657013,0.199578690710165,,,,,
0.00166225341238077,1.26301564427767e-05,3.27913537882626e-08,0.907169795046469,5.61380693226946,ADSK,-0.777361561950388,,,,,,0.66932651035849,-0.0545749048703741,0.0501469046018357,,,0.85797118308272,,0.128656378258103,,,,,,,
0.00108501570987607,5.59183430071331e-06,0.134350594662918,0.839241300241041,6.1935079032303,AEE,-0.956419393321508,-0.0329323205466602,-0.134578098701971,-0.155220122211323,,,0.927218253182667,,,,,,,,,,,,,,
0.000972737802424888,5.29843961180635e-06,0.0825171526965559,0.855359818877801,6.72681218605067,AEP,-0.141277038722202,0.450568385975731,-0.821217166896617,-0.508854061057548,,,0.129525005757957,-0.464859693362616,0.849646068118498,0.483288288239024,,,,0.0631125402156478,,,,,,,
0.00169639469757975,9.67158434756421e-06,0.0805465209563097,0.800223860534353,7.82654128527744,AES,-1.72175642410745,-0.949487081713776,,,,,1.61565461104819,0.776529997272629,-0.103178417852871,,,,,0.219101907469952,,,,,,,
0.00022905016655541,7.58125436725332e-06,0.22355688166818,0.775443119834027,4.48980070280629,AFL,-0.680250904614216,-0.972140477486672,,,,,0.604600428311542,0.977318721675086,-0.0507141919613274,0.0525123532707964,,0.790689656259954,,,,,,,,,
0.000733555748387695,1.45818109077156e-05,0.226661895436761,0.772304313250789,6.38548994959029,AIG,,,,,,,,,,,,,,,,,,,,,
0.00154663277799458,1.35035555243452e-05,0.24118736751755,0.711564924820897,5.43985055295324,AJG,-0.613668630295802,0.293769951914656,-0.0273760850299165,-0.0898599728279908,,,0.547595107951566,-0.344911142784127,,,,,,,,,,,,,
0.00126520024502463,2.04513851610464e-05,0.147217550601187,0.788523528887341,5.79567440203973,AKAM,0.535406271390138,-0.0579738310793488,-0.0495022672528941,,,,-0.554107041986904,,,,,0.832296587833176,,,,,,,,,
0.00171446291520561,6.11145058877231e-05,0.134449286382639,0.821587170098357,3.54668112967747,ALB,-0.141738529385476,0.855932618709341,,,,,0.112503874224693,-0.875277068556223,,,,,,,,,,,,,
0.000781492360202342,5.36980232850365e-06,0.0269011614154609,0.875913156203318,4.30956971656457,ALL,-1.59733723913651,-0.75963597732675,,,,,1.47192387865025,0.530113572138057,-0.21813137004939,-0.109663706498292,,0.82568268881811,,0.171160964287259,,,,,,,
0.00037987558178454,1.46705008002005e-05,3.17005351113115e-08,0.9463744619799,4.34024823701044,ALXN,,,,,,,,,,,,,,0.0647733319994985,,,,,,,
0.0022206444031403,5.29108296954749e-05,0.16388940449439,0.767620899246364,5.58614594132727,AMAT,-0.669871153064519,,,,,,0.550645647211818,-0.0542454283886321,0.00753924956906062,-0.094515329384844,,,,,,,,,,,
0.00251467073376441,0.000105572716047657,0.11741163304966,0.805698204086236,3.82788671527026,AMD,0.33841685143615,-0.00797203188170485,-0.0522133310261537,,,,-0.42044242907404,,,,,,,,,,,,,,
0.00173494251924876,1.05607251337579e-05,0.213328521534586,0.769178033182408,5.38428095835501,AME,-1.71977321673368,-0.685644016025096,0.139181480626661,,,,1.74327432538709,0.688645310113435,-0.243465974159866,-0.171452631227727,-0.0889030264181503,,,,,,,,,,
0.000362656727517425,7.62821216034984e-06,0.0919829026538037,0.891954800524119,3.82364759896878,AMGN,-1.68261537075742,-0.913254260003513,,,,,1.6459356049011,0.910072673730043,,,,,,,,,,,,,
0.00134371976159695,2.13798332198851e-05,0.227412742569536,0.712926210671004,6.51530656153737,AMT,,,,,,,-0.0566704959066144,0.0166910601789869,0.00973569376312223,-0.0746449513680453,0.000206205317418363,,,,,,,,,,
0.00139609068348473,2.42079999552753e-05,0.217318287014624,0.742535453649336,4.92838740292678,AMZN,-1.7156704676267,-0.924365566026095,,,,,1.67363727046903,0.895223644971169,,,,,,,,,,,,,
0.00192109243707121,1.07821068902719e-05,5.0470380832567e-09,0.8763627645228,22.7494698139407,ANSS,-0.297096539397106,0.40400305359519,-0.0304955311535987,-0.106287854051213,,,0.190459029739234,-0.433583142477633,,,,0.73250833684125,,0.17093071222328,,,,,,,
0.00139201747090995,1.01267544999914e-05,0.0139053892885182,0.856276008054202,3.56899059885831,AON,-0.327294629482194,-0.869258606086543,,,,,0.271209192671025,0.89845129716903,,,,,,0.209647269604151,,,,,,,
0.00127185709044735,2.46517300873449e-05,0.176493981028486,0.780572792205476,5.13242384859846,AOS,,,,,,,,,,,,,,,,,,,,,
-0.00150588393243754,8.81203128937604e-05,9.12418474267196e-13,0.923762875734944,2.78919147819976,APA,0.98194390759385,,,,,,-0.999999964880427,,,,,0.819659709986544,,0.146290934079363,,,,,,,
0.00181910290806906,1.1877578101216e-05,0.204957786815094,0.791258297708089,3.89583354906941,APD,-0.873812295281683,-0.0161908470860235,0.00466629848491304,-0.0491048530565823,,,0.831444019126429,,,,,,,,,,,,,,
0.000893499695137191,3.62612255919046e-06,4.30254877502748e-07,0.921260526629828,7.14296671219236,APH,-0.500257837012746,0.402354677159628,,,,,0.445578029468996,-0.379210095831374,0.0336089182610226,-0.071320981173446,,0.824248803504673,,0.12834106797822,,,,,,,
0.000718744021815555,5.78438046742331e-06,0.00158398687120705,0.879110501289257,7.45766101247878,ARE,-1.26085954153825,-0.566770826057913,,,,,1.17473296438646,0.436865190366483,,,,0.828790919185313,,0.17517528170126,,,,,,,
0.000537246343205144,6.04627731228116e-06,0.137122693297914,0.831163983556698,7.58111596285373,ATO,-0.593034994668806,-0.0662149318654562,-0.115492364621531,-0.124938138505408,,,0.522244075618477,,,,,0.857522656034966,,,,,,,,,
0.00147868646344834,2.89818592559406e-05,0.12599526426152,0.816923029476985,7.83016787787326,ATVI,-0.954343204629041,,,,,,0.842381299937677,-0.114808993749908,,,,0.796439288500587,,,,,,,,,
0.000331105063978439,4.35343732354548e-06,0.0493193513160204,0.831594558818975,7.11178006610103,AVB,,,,,,,0.00710701709781235,0.00348198711527713,-0.0160049608506554,-0.137340158733661,,0.794746667051257,,0.234054113155955,,,,,,,
0.00150867769993376,7.30260027529312e-06,0.145621156041346,0.847690800090311,5.53685103551314,AVY,-0.802646086129321,0.0264613191295012,-0.0396843697352261,-0.119008043679753,,,0.837458617437621,,,,,,,,,,,,,,
0.00109859054249756,8.49097796531405e-06,0.0610656014583553,0.821990946198628,5.34562156543469,AXP,-1.90923285599972,-0.976299743560051,,,,,1.89438163492287,0.95792538873472,,,,,,0.22173456485953,,,,,,,
0.000912265398414103,2.21647722629641e-05,0.130153748822382,0.78372272284634,4.674357957532,AZO,-1.77307940311473,-0.970917491067503,,,,,1.75598251750777,0.953141998397399,,,,,,,0.00453092260883388,,,,,,
-0.000485250578556148,3.41113557800114e-05,0.205253810946915,0.790040949688386,3.99890607153015,BA,,,,,,,-0.0202722573798338,0.00808710908356301,,,,,,,,,,,,,
0.000755799863695495,5.91910447278348e-06,1.77203192293269e-08,0.896142094274831,5.01255048457333,BAC,-1.46514179185071,-0.788757760710153,,,,,1.41985425645426,0.779876930041591,,,,,,0.20010832407348,,,,,,,
0.00140731378443265,2.55756326405001e-05,0.204701927334386,0.721101917926393,3.95379941229089,BAX,-1.06466638714026,-0.111113591818607,,,,,0.977917669590732,,,,,,,,,,,,,,
0.00202528006111623,1.48962420252979e-05,1.17927103192182e-07,0.902758577231914,3.68203683894621,BBY,,,,,,,,,,,,,,0.149616319058837,,,,,,,
0.000840846615943734,6.26024357351061e-06,0.0648677856181789,0.911139570809067,4.63535554662359,BDX,-0.864840771833944,-0.018127870846065,-0.0631415770384363,-0.112135378680705,,,0.803674115108528,,,,,0.79749837726712,,,,,,,,,
0.000437979089874016,1.5909549920891e-05,0.119060630138181,0.861401056129809,5.21031587918455,BEN,,,,,,,,,,,,,,,,,,,,,
-9.71604416088363e-05,0.000340973042363614,0.227858211986063,0.424429755620893,2.54001234620993,BIIB,0.299247654054653,0.0891333632293603,-0.0694950270823402,,,,-0.444856100962046,,,,,,,0.0698712210343769,,,,,,,
0.00210824358948556,2.26177425331586e-05,7.07336893447788e-08,0.885708747889012,3.41072718630953,BIO,0.654949027183247,,,,,,-0.734947231684163,,,,,,,0.154250047356111,,,,,,,
-9.58799551567745e-05,1.57549711731589e-05,0.181328886255179,1.47178432343921e-07,4.05874937789005,BK,-0.0523913149327801,0.0503009928126415,,,,,,,,,,0.833916314157142,0.806451154228836,,,,,,,,
0.00137822436721355,2.01768572135583e-05,0.182235111804825,0.805518352062278,3.65371194896755,BKNG,,,,,,,,,,,,,,,,,,,,,
0.00108846850805898,1.11292941226419e-05,0.0368067238360142,0.84923547595545,6.94649547787438,BLK,-1.056402468146,0.00461784988506904,0.291216437791852,,,,0.976345562817345,-0.0463058336759155,-0.287301068592042,-0.0343492973546866,,0.81335604892195,,0.15055231569776,,,,,,,
0.00213704952550204,2.41734272571717e-05,0.14530833161977,0.781754655341132,5.68049822279808,BLL,-0.681394172200832,-0.00219495334130377,0.00733177740280433,-0.0464831949196661,,,0.615779245873269,,,,,,,,,,,,,,
0.000748488097807954,3.35893506849773e-05,0.0876968972645095,0.779369306262113,4.39357945978644,BMY,-0.219781489677477,-0.972320271999443,,,,,0.211715982203333,0.99536936422038,,,,,,,,,,,,,
0.000214118864363951,3.3028738159451e-06,4.68217961272317e-08,0.946001065740466,4.17689634593085,BSX,-0.820656029888565,-0.875825304146338,,,,,0.733458559501981,0.80252105927486,-0.132725052797799,-0.021834658990209,,0.819955725799672,,0.0832952901075127,,,,,,,
