mu,omega,alpha1,alpha2,beta1,beta2,gamma1,gamma2,shape,tick,skew,ar1,ar2,ma1,ma2,ar3,ma3,ar4,eta11,eta21,ma4,label
-0.000388240178857957,2.91780021156591e-05,0.0342720885431504,0.0122449672090027,1.27869006020779e-05,0.650825496108854,0.0149825457257494,0.315012152111167,99.9999104944898,A,,,,,,,,,,,,2015
-0.000429344173684712,1.64780918695719e-07,6.23121853399459e-13,,0.998999952728534,,,,6.42386479943844,AAL,,,,,,,,,,,,2015
-0.000177191164774727,1.93806872068075e-05,0.0880011815263772,,0.842288848709039,,,,8.42446548194949,AAPL,,,,,,,,,,,,2015
0.000948949359537021,6.31821467990631e-05,0.268597767985649,,0.632600067106769,,,,3.60404581716123,ABBV,,,,,,,,,,,,2015
-0.000100080666437758,1.74720224870363e-05,5.40821761138355e-10,,0.780218576428125,,0.268637719311359,,6.64797913532148,ABT,,,,,,,,,,,,2015
0.000744530625290759,2.70933484844597e-07,0.00138491635576958,0.00062483291890224,0.999913784435952,,0.19827180524702,-0.207425531994063,8.3214642198212,ACGL,,,,,,,,,,,,2015
0.00108541814417888,6.09277183609029e-05,0.246434221616065,1.39906525153187e-14,0.402328526555137,,,,4.98092167975188,ACN,1.07080654599023,,,,,,,,,,,2015
0.000640465280686607,2.933199325627e-05,0.284646952489377,,0.594485636757555,,,,11.6022888786241,ADBE,,0.702810728298304,0.169251638202766,-0.75069802901018,-0.285866247977344,,,,,,,2015
-0.000511393411036082,2.10874717309102e-06,8.08886479299397e-09,,0.998999975599686,,,,2.70290326515452,ADI,,,,,,,,,,,,2015
-0.000185019574138711,1.0579916807311e-05,0.0892400162768878,,0.1893475064545,0.674466407081778,,,5.85449641848043,ADM,,-0.710488446473761,-0.0474357947017433,0.635616043508614,,0.101688905940931,,,,,,2015
0.000163208636630309,0.000103857035482323,2.50627029867731e-14,,0.0178032729265759,,0.45232550376611,,20.9696846575293,ADP,,,,,,,,,,,,2015
-0.000352034514617347,5.34348941559245e-07,2.15437126703993e-09,,0.998999967363232,,,,3.94815278000642,ADSK,,,,,,,,,,,,2015
0.000330355448642446,2.84721297780222e-05,0.121095894049324,,0.6996381648401,,,,8.62905300763513,AEE,,,,,,,,,,,,2015
0.000691107589580866,1.13052087327353e-05,0.0433890055047899,,0.88443920811204,,,,6.01536396955825,AEP,,,,,,,,,,,,2015
-0.000810952503919311,1.39871289138493e-05,0.0421938382978363,,0.913938278778126,,,,6.38306976379284,AES,,,,,,,,,,,,2015
0.000838931545368878,2.01243003261833e-05,0.186269109583126,,0.677657781051538,,,,5.08211847196632,AFL,,,,,,,,,,,,2015
0.00109080109038001,3.37239583923859e-05,0.124858767928178,0.00300506605458044,0.470972321920943,0.188931274152469,,,6.40324987576865,AIG,,-0.376294526529872,0.354023667653323,0.449244869907526,-0.46074958980418,-0.0725532587842132,,,,,,2015
0.00114828060809612,2.58300055314845e-07,3.10469850976992e-09,,0.998999942721638,,,,5.01935640776283,AIZ,,,,,,,,,,,,2015
6.83409270918848e-05,2.9010532938954e-05,0.239611219989945,,0.449330603955323,,,,10.0727431458313,AJG,,,,,,,,,,,,2015
0.000133069544394343,1.33697734744491e-05,0.0111201357096642,,0.937982347418175,,,,4.64830229831616,AKAM,,,,,,,,,,,,2015
0.000770385050601723,1.59359682164121e-06,1.22378148306429e-08,,0.998999921294301,,,,2.88498339790371,ALB,,,,0.0681213125378211,,,,,,,,2015
0.000750329401173143,5.65087477554846e-07,2.60108132369225e-06,,0.999989675851594,,-0.00447387730249643,,3.68241800604342,ALGN,,,,,,,,,,,,2015
0.00151860926400107,3.04436230029195e-07,8.20976666094206e-07,,0.998991779524161,,,,8.13205805885441,ALK,,,,,,,,,,,,2015
0.000119034105074807,8.66529527231154e-07,0.0127575311667456,,0.978579124555665,,,,4.69704373226998,ALL,,,,,,,,,,,,2015
0.00077073181143296,6.16345325666316e-06,0.078715404080549,,0.473460179045541,0.410497604796058,,,7.45024347648077,ALLE,,,,,,,,,,,,2015
-0.000338484259251108,1.80180577399192e-07,1.358683673351e-07,,0.998998817501009,,,,7.55880634091387,AMAT,,,,,,,,,,,,2015
0.00027340061540152,0.000653473034455563,0.497661466674436,,2.02102292664123e-09,0.209661189034822,,,3.25266297083829,AMD,,,,,,,,,,,,2015
3.43202448675516e-05,5.19275347042809e-06,0.0538839356038163,,0.911040915581653,,,,15.1245230681464,AME,,0.289613305541357,0.58009097990515,-0.349462558193001,-0.66529779063761,,,,,,,2015
-0.000195349010186103,3.55254826156858e-05,6.11583023510353e-08,,0.765336839157087,,0.277490152363213,,6.34271620036996,AMGN,,,,,,,,,,,,2015
-0.000625871065644317,4.77531749388069e-05,0.145817390667365,,0.617191107336446,,,,19.7669727318675,AMP,,,,,,,,,,,,2015
-1.30820620382773e-05,2.38323232681995e-06,2.58245111082214e-06,2.16925848261862e-06,0.970488084170946,,0.262594282846122,-0.235400085602537,19.8139506604977,AMT,,,,,,,,,,,,2015
0.00148794614032894,9.33288401019929e-07,1.02723246429277e-08,,0.998999926186687,,,,2.88626230086501,AMZN,,,,0.0225272275433115,-0.103366820108509,,-0.0152309508233737,,,,,2015
0.00119349557324843,8.29316524059048e-07,3.62676338741333e-11,,0.998999926801751,,,,5.03030741216594,ANET,,,,,,,,,,,,2015
0.000561744604657749,1.73713271403979e-05,0.0517516168874818,,0.822870746163857,,,,6.48388663920552,ANSS,0.847538339589126,0.815093804036913,,-0.950732857857293,,,,,,,,2015
