mu,ar1,ar2,ar3,ar4,ma1,omega,alpha1,beta1,shape,tick,ma2,ma3,ma4,ma5,beta2,skew,alpha2,eta11,eta21,gamma1,ar5,ar6,ar7,gamma2,label
0.002273020479348,-0.882579473803595,-0.0401454282358769,-0.0349800156792039,-0.158142352708385,0.738766589867234,2.00038378071936e-05,0.193403397599776,0.794880633357271,3.91099900427734,A,,,,,,,,,,,,,,,2020
-0.0025270200067907,1.3455182325614,-0.843360616423352,,,-1.30934945181997,0.00018450527753614,0.192517028502136,0.806462388699541,3.41706504655896,AAL,0.773145496070371,,,,,,,,,,,,,,2020
0.00360301461258807,-1.88497231051859,-0.979771278189207,,,1.91231144265022,3.9326284059437e-05,0.226453972687594,0.759989776374751,4.41362087353323,AAPL,0.997784837224749,,,,,,,,,,,,,,2020
0.000723543828709506,-1.65732617393101,-0.918501472252973,-0.0724029242454822,,1.65995683764106,5.3765790596282e-05,0.229628332088867,0.653225783291413,5.13646676638306,ABBV,1.01176451263266,0.249428007653585,0.175025721497717,0.130018786837001,,,,,,,,,,,2020
0.000741412558117898,-1.67907037672263,-0.823832711293121,,,1.54786890679743,1.35003689274347e-05,0.248650945241095,0.750349056695283,7.27148700581449,ABT,0.709284408893275,,,,,,,,,,,,,,2020
0.000944753116420137,-0.81397047902875,0.0898655035581665,-0.0108292137720975,-0.158067592277632,0.836836688151447,2.14556547312724e-05,0.197481138548135,0.799344227918104,9.49353601942572,ACGL,,,,,4.24088513582584e-08,0.942782244999062,,,,,,,,,2020
0.00230503440316539,-0.226371794443734,,,,,2.48703594677818e-05,0.35415274983301,0.644847106209105,4.50128255117819,ACN,,,,,1.07890944293672e-07,,,,,,,,,,2020
0.00258583289442443,-0.269112109966753,,,,,3.68197665227743e-05,0.287269346954438,0.711730463211819,4.39588910182353,ADBE,,,,,,0.803373204750161,,,,,,,,,2020
0.00158810796083449,-1.45533741520823,-0.653495012560701,,,1.26081150282534,1.3432426815294e-05,0.142830992877208,0.853927415064397,4.68724419210512,ADI,0.48083250375262,,,,,,,,,,,,,,2020
0.00177151382543105,-1.60261224236622,-0.725351144202645,,,1.46198416231567,1.2222546453174e-05,0.173530407962073,0.825468256542416,4.50196588945788,ADM,0.576437331859371,,,,,,,,,,,,,,2020
0.00133215003648985,,,,,-0.162234878158503,3.53532930566901e-05,0.262187693811147,0.736812280332205,3.58591286541103,ADP,0.126881053515474,,,,,,,,,,,,,,2020
0.00387305318712062,-0.336652083512428,0.0221846690035664,,,0.181615173997023,4.38059646095295e-05,0.236374576559491,0.753672027077248,4.33313875120479,ADSK,,,,,,,,,,,,,,,2020
0.0019115332699821,,,,,-0.127090735463988,1.56989098501081e-05,0.239028465087955,0.759971395428018,4.03113186297576,AEE,,,,,,,,,,,,,,,2020
2.7522376711794e-05,-1.26709423609135,-0.641916944202194,-1.29609416750615,-0.924437432844856,1.36319735852052,2.28833312930242e-05,0.23403086152546,0.763627007249245,3.95998495578211,AEP,0.701180754429834,1.35980148290579,1.02165187624791,,,,,,,,,,,,2020
0.00263365476313944,-1.67584118770047,-0.82286749803233,,,1.51218240756797,3.82474363749394e-05,0.301323822882869,0.697676162958824,4.99913652121611,AES,0.631770327830889,-0.0568250748372085,,,,,,,,,,,,,2020
0.000175681214311984,0.468024364290864,-0.944448541251563,,,-0.458615392092037,3.28904591324807e-05,0.318764625065053,0.680235365711909,5.61363161527155,AFL,0.986467821692206,,,,,,,,,,,,,,2020
-7.6690397151904e-06,,,,,,5.1593069411953e-05,0.307057978719397,0.691942012475224,10.7476525891284,AIG,,,,,,,,,,,,,,,2020
0.00110589040031012,-1.94775754691179,-0.959801943587379,,,1.84602921325285,5.98114833590499e-05,0.349678338799931,0.649321162450328,3.63216311842497,AIZ,0.725741366728789,-0.131699602565641,,,,,,,,,,,,,2020
0.00226228345259739,-0.980046619981167,0.000480185154504566,0.134945722856489,,0.917653642666284,2.20795227608888e-05,0.356404940182911,0.642594685829024,4.67161249487762,AJG,,,,,,,,,,,,,,,2020
0.00141008493949884,0.885577506003004,,,,-0.93702163981562,2.8973961189291e-05,0.239792770721532,0.73640923322654,4.29875304924367,AKAM,,,,,,,,,,,,,,,2020
0.00387877082412366,,,,,,0.0001975893819542,0.195407103946336,0.751140353052765,2.9987363522259,ALB,,,,,,,,,,,,,,,2020
0.00181774772953767,,,,,,0.000120681929338578,0.24329915647807,0.739688400457945,3.27221120286832,ALGN,,,,,,,,,,,,,,,2020
-2.27111383829216e-05,-1.67698538669769,-0.980797066723059,,,1.64998824867322,0.00012241683009574,0.223973938424702,0.775026063160142,3.01413044209111,ALK,0.95661981142032,-0.0176330785910124,,,,,,,,,,,,,2020
0.000464224934814283,,,,,-0.0630618259284687,1.75743902566373e-05,0.232968744820601,0.760431900328046,6.08234070197483,ALL,-0.0165036351626594,,,,,,,,,,,,,,2020
0.00132939357104191,-1.47584216521992,-0.923337907273736,,,1.53320975860408,3.08888479291942e-05,0.313753505852869,0.68524646799285,6.65908772050309,ALLE,1.02802044101632,,,,,,,,,,,,,,2020
0.00238449917256345,,,,,-0.131972936304714,6.50743213556981e-05,0.261855902954309,0.699902257647879,6.61955482053692,AMAT,0.149415099144372,,,,,,,,,,,,,,2020
0.00118105638096608,,,,,,4.33094770589007e-05,0.175019307694499,0.631514535150379,8.78384743737911,AMCR,,,,,,,0.146643455979514,,,,,,,,2020
0.00242615528778019,-0.165315404523627,,,,,7.62696073337329e-05,0.106162880923058,0.851816584881903,4.12854593758524,AMD,,,,,,,,,,,,,,,2020
