mu,omega,alpha1,beta1,shape,tick,beta2,ar1,ar2,ma1,ma2,alpha2,gamma1,gamma2,skew,eta11,eta21,ma3,ar3,ar4,label
-0.000516580036424721,6.99414480192816e-08,8.53210483020324e-10,0.998999929253423,4.87470749688001,A,,,,,,,,,,,,,,,2004
0.00254885896286137,4.35931668626811e-07,4.03106968950044e-08,0.471914938704073,4.05676162908944,AAPL,0.52708433114425,,,,,,,,,,,,,,2004
0.000210975707557552,2.63469724129988e-13,0.000102440020988237,0.998218312195121,4.88145770755112,ABT,,,,,,,,,,,,,,,2004
-0.000172408048955496,1.77912424727504e-07,2.53667112514108e-09,0.998999975041658,5.10367020948988,ACGL,,,,,,,,,,,,,,,2004
0.000990966293351877,1.00578068452826e-11,0.000185873458960744,0.997095232536322,5.61683627259598,ACN,,-0.345499415920474,-0.999665153666927,0.357646436487376,1.00602856279647,,,,,,,,,,2004
0.00168100286601137,6.79582548633455e-12,0.000615126652774781,0.998155102762711,8.53028036852107,ADBE,,,,,,,,,,,,,,,2004
6.26579653387188e-05,6.12415785129547e-07,0.0114424493812218,0.963747861070217,11.7943239588292,ADI,,,,,,0.0105156157933304,-0.215798024218111,0.239935362307647,0.937634936202694,,,,,,2004
0.000825619875463918,3.40579383346602e-07,0.169537841944892,0.288725433905978,5.74402015170368,ADM,,,,,,,,,,0.998137116560037,0.00041325840773041,,,,2004
-0.000109754346468583,1.94021524746491e-09,2.21489888898401e-09,0.998999966040522,5.24577230698249,ADP,,,,,,,,,,,,,,,2004
0.00362567344085586,1.63816236306321e-05,1.22737470083416e-11,0.977978706250003,2.66756045144412,ADSK,,,,,,,,,,,,,,,2004
0.000785114422308965,5.38881926947115e-05,0.164037040894363,2.00275617070205e-07,6.08015667743824,AEE,6.67716738951296e-10,,,0.0508738761989258,,,,,,,,,,,2004
0.000391228954195782,1.04406042425758e-05,0.073616431547963,0.827255781412468,9.2988088668763,AEP,,,,,,6.66600877874405e-08,,,,,,,,,2004
0.00219688679984699,1.88724834212907e-12,0.0136000756714064,0.983697005392948,5.32748138461061,AES,,,,,,,,,,,,,,,2004
0.00044394809683561,2.00523675419455e-07,0.000489178278641888,0.997476455040826,3.72039015663323,AFL,,-0.070551713177743,-0.979518570610972,-0.0326525750070783,0.985811747492103,2.22730082122167e-05,,,,,,-0.12183415084877,,,2004
-0.000375126760848872,1.62190904042093e-05,0.0929419258176647,0.805901247473756,4.00629712344764,AIG,,,,,,,,,,,,,,,2004
0.000820291706752011,2.19641514406444e-05,0.412253150183449,0.23701014405341,4.60266974493867,AJG,0.261566437184638,,,,,,,,,,,,,,2004
-0.00101406878046005,2.65974020343337e-12,0.00611426998442416,0.991213821438928,5.66639794568622,AKAM,,,,,,,,,,,,,,,2004
0.00107107086392295,2.02250429580288e-05,0.0592820076709987,0.849064651662434,59.999999160704,ALB,,,,-0.108859793395599,,,-0.0371865154927563,,1.02472591649707,,,,,,2004
-0.00121065836250178,7.0133769482825e-06,0.00104390265731072,0.989315916740689,3.36636609518953,ALGN,,,,,,,,,,,,,,,2004
0.00127879204112126,0.000135715025752452,0.149461810898914,0.599590100320393,10.700221890934,ALK,,-0.327694177207933,,0.187638836977455,,,,,,,,,,,2004
0.000734342241267923,5.86287205333837e-08,1.62478778554514e-13,0.998999991613457,10.4996357921347,ALL,,,,-0.126144600450794,-0.138745651957996,,,,,,,,,,2004
-0.00109446023440538,2.43173324488458e-08,8.73780514620477e-08,0.00203258553571152,24.72251340124,AMAT,0.996967091424761,-0.0262045224240324,-0.0390182481050555,,,,,,,,,,-0.108417687864546,,2004
0.00138078237564525,2.75814972945878e-06,6.30737394622666e-05,0.697696493585036,25.3842542901549,AMD,0.32022569387636,,,0.144656643744796,,,-0.0381089847346916,,,,,,,,2004
0.00117282583706571,0.000120074225475223,0.218081349980168,0.148532050049955,5.63476575811196,AME,,,,,,,-0.15284339497262,,,,,,,,2004
6.16625938075218e-05,1.79779471339635e-07,1.0253459643933e-10,0.998999946894488,7.77773221992549,AMGN,,0.74335673188874,-0.555362187298165,-0.768447938800969,0.523459064049265,,,,,,,,-0.147038018052751,,2004
0.00193701404497973,1.19164300787611e-06,0.0227281314299655,0.970391142395465,10.032855014271,AMT,,,,,,,,,,,,,,,2004
6.00096415009787e-05,6.3420025014341e-08,1.91211790749394e-09,0.998999926119716,5.58900006461855,AMZN,,,,,,,,,,,,,,,2004
0.00136278191675073,2.36548992220785e-06,8.25029588318656e-07,0.99999967877545,8.82945050861675,ANSS,,,,,,3.02718918702505e-07,0.366131560054136,-0.377899633667541,,,,,,,2004
0.00203438589167017,5.40815360143631e-05,0.107418481012257,0.698634461919802,2.86285590318786,AON,,,,0.024156844175817,0.0286453200502193,,,,,,,0.00510039527931012,,,2004
-0.000242770260700888,7.91123658488768e-08,7.36773563306729e-09,0.99899995045884,4.00124983349091,AOS,,,,,,,,,,,,,,,2004
0.00033548911596171,2.75867472904022e-07,3.58614862261922e-06,0.985689592010871,59.8528787411217,APA,0.0132974299137628,0.63050877724709,0.258541758597675,-0.586978486222106,-0.456174166793761,,,,0.694388633448307,,,,,,2004
0.000654751661261444,0.00011487463447338,0.240473013609224,0.0252521498895939,10.6363631118137,APD,,,,0.0972492533858619,,2.93009172473432e-21,,,,,,,,,2004
0.00015397873248822,9.93916041136243e-08,1.311777880232e-08,0.998999985670737,10.3152215226039,APH,,,,,,,,,,,,,,,2004
0.0019379827500335,9.965277013774e-06,0.00558515685095824,0.95580110456372,4.01497957988534,ARE,,,,-0.118675749644774,,,,,,,,,,,2004
