mu,ar1,ma1,ma2,omega,alpha1,beta1,shape,tick,gamma1,ar2,ar3,eta11,eta21,beta2,skew,ar4,ma3,ma4,ma5,alpha2,ar5,ar6,gamma2,label
-0.00162998222711385,-0.528635748169876,0.59629720963887,-0.123542633191301,4.32305341232833e-11,0.0273344518226746,0.969023990433472,14.7765334161796,A,,,,,,,,,,,,,,,,2001
0.000475008595233811,,,,2.75407901542698e-05,0.000842824627580867,0.999999982542608,13.6216523668865,AAPL,-0.0403314992242887,,,,,,,,,,,,,,,2001
0.00105026948040354,-0.00509214747060695,,,1.13471958137497e-11,0.0092481205064728,0.987813313913283,11.5196546450109,ABT,,-0.0455389480167903,-0.0517445020544459,,,,,,,,,,,,,2001
0.000720879195102498,,,,5.22685197660389e-14,1.52921554216222e-08,0.998801045950322,2.50411526722552,ACGL,,,,,,,,,,,,,,,,2001
-0.00217851498818082,-0.898303003220862,0.963149879232022,,2.36742293656427e-05,1.44683877202429e-09,0.208897674177638,10.297582506237,ADBE,,0.0652591555809062,,0.995865534313323,0.0686836178695858,,,,,,,,,,,2001
-0.000326189745570925,0.142988517228464,,,0.000191313858957382,0.0680126499470902,0.844232693395232,99.4400324844317,ADI,,-0.184281319727435,-2.30564403082171e-05,,,,,,,,,,,,,2001
-9.64063298301631e-05,-0.189550143533174,,,3.71566951510018e-05,0.0936248779957538,0.82299325708833,7.73913467535088,ADM,,0.0112105642758128,,,,,,,,,,,,,,2001
0.000441190610736374,,,,7.26681668217553e-05,0.136541563732634,0.678268913874699,5.71749728907194,ADP,,,,,,,,,,,,,,,,2001
0.00068835608752296,-0.77822410598349,0.720762765388818,,0.000315100855802146,0.108910749382962,1.23917808203921e-14,4.54927421581046,ADSK,,-0.129114139791584,-0.00910623162731165,,,0.631434925525976,0.918844029065448,,,,,,,,,2001
0.000147273689586571,-2.34242745004792,2.37209567392903,2.72262992650205,2.16774545767669e-05,8.13016913407072e-12,3.98008403309984e-08,6.72327197615793,AEE,0.265029117452977,-2.73493655595031,-2.14336032309902,,,0.7048082394466,,-0.815143318588159,1.97321512672895,0.455739301966289,-0.276067858357509,,,,,2001
7.86962813348813e-05,0.0191211894683894,,,2.44789812890007e-07,4.66998719363544e-07,0.998998771915775,12.096265702732,AEP,,-0.0787363886914414,-0.0123836542026259,,,,0.709577091260232,,,,,,,,,2001
-0.00220201706155735,,,,4.51704663706415e-05,0.00774286466906894,0.960385026776544,3.13884547987813,AES,,,,,,,,,,,,,,,,2001
-0.0014440476578092,0.98613693463637,-0.999999989999998,,0.000386294484317037,0.380805098784143,9.6333620981336e-07,3.49648628459636,AFL,,,,,,,,,,,,0.00916499598644544,,,,2001
-0.000866282252622992,,,,6.80215554554387e-06,0.158203980899393,0.82119130080224,11.14702931104,AIG,,,,,,,,,,,,,,,,2001
0.00067554810255604,-0.00156342562237874,,,3.86019581803869e-05,0.185196705102418,0.760939462809704,5.52033013457931,AJG,,-0.0498670899131651,-0.0129549833323137,,,,,,,,,,,,,2001
-0.00802852520955577,0.0492129727930736,,,0.000684870453967044,0.189205757548354,0.65546617702413,11.2864767790525,AKAM,,-0.0132055028613653,0.0633971756371751,,,,,0.123349344677115,,,,0.0550726968986305,,,,2001
0.000483268158760968,-0.18995586473607,0.0653362341446269,,5.60874108780771e-05,0.199103664100446,0.652190735608856,7.69828287318269,ALB,,-0.243775024111044,,,,,,,,,,,,,,2001
0.000210956553955877,1.00515564957165,-1.00566661691016,1.02287599122436,9.3077862162774e-06,0.0260804489979263,0.95202146493324,4.07235466463814,ALK,,-1.02561158642998,,,,,,,,,,,,,,2001
0.000120544598566467,0.0191495662704411,,,7.45738690984618e-05,0.141266164314554,0.726161946786159,3.2121017468558,ALL,,,,,,,,,,,,,,,,2001
0.00690712728721908,0.211136325687453,-0.182152662604197,-0.880383207618669,0.000391032844056274,0.138593512717441,0.654648850921419,11.1616943999145,AMAT,,0.768369244354508,,,,,,,,,,,,,,2001
0.0022123147302602,,0.134558561049881,,7.06782115295128e-07,5.66294504755519e-10,0.998999916040014,5.56042302384269,AMD,,,,,,,,,,,,,,,,2001
0.00124025485624394,-0.155845174051584,,,9.2836348299583e-05,0.183610047131043,0.598907692749971,8.10681034521061,AME,,,,,,,,,,,,,,,,2001
-0.0011578342472253,-0.319746859394324,0.271611598748723,,3.9270300121419e-05,9.74834822891474e-09,0.903971095500046,8.03285165974771,AMGN,0.107477210062539,-0.0257574034221034,-0.0680118021937545,,,,,-0.00102969400521764,,,,,,,,2001
-0.00694933207954886,-0.282975472026414,0.387183388235438,,0.000246407592735893,0.0787671399007123,0.826215963971251,3.77877344421792,AMT,,,,,,,,,,,,,,,,2001
-0.00423845127795017,-0.048310652266012,,,2.17907911062901e-05,9.61504875735567e-09,0.993658679821788,4.61336052653035,AMZN,,0.00874278984002272,,,,,,,,,,,,,,2001
0.00238709453398942,,-0.0837490787340496,-0.105758302933996,0.000328405107325296,0.114982769710727,0.743592111985063,3.57449048120872,ANSS,,,,,,,,,,,,,,,,2001
0.000689358291182658,,,,6.88984138186977e-05,0.221201385880756,0.66644111865936,3.03022544653745,AON,,,,,,,,,,,,,,,,2001
0.000513430352110259,,-0.0982142595628884,-0.026348418483681,0.000207968686230794,0.0505535891188837,0.289763918899444,6.06327543727238,AOS,,,,,,,,,,,,0.344555001842314,,,,2001
