mu,ar1,omega,alpha1,beta1,shape,tick,ma1,gamma1,alpha2,eta11,eta21,skew,ar2,ar3,gamma2,beta2,ma2,ma3,ar4,ar5,label
0.000666774344947407,0.00651827994173434,9.35155165989366e-08,8.38716578442671e-09,0.998999891875306,10.6406242313369,A,,,,,,,,,,,,,,,2012
0.00318663907334486,,4.28241020935598e-11,0.0200277024486287,0.977272285712314,5.04318189513074,AAL,,,,,,,,,,,,,,,2012
0.000809397250631173,0.969616719613245,8.11968243668189e-05,6.58998546134939e-14,0.605577366573409,4.83115897841055,AAPL,-0.937954617350201,0.38825409659498,,,,,,,,,,,,,2012
0.000907754998834421,,7.10931697872169e-08,0.0868287409668167,0.327635145617328,4.2819684836216,ABT,,,0.0406758855499661,0.999124883211235,0.00381452537964299,1.12633561059784,,,,,,,,,2012
0.000902705880930369,-0.106474064239908,1.12267543129419e-08,3.12716736122002e-08,0.998999955358697,8.85426239749877,ACGL,,,,,,,-0.10461075910946,0.0500015860401759,,,,,,,2012
0.000611704548449634,,1.43876397548915e-07,1.599785152193e-09,0.998999945206766,5.20852910102723,ACN,0.0761309307465714,,,,,,,,,,,,,,2012
0.00131360991110172,,8.30978533822634e-06,0.0205261899453916,0.943288491432957,7.8374861240077,ADBE,,,,,,,,,,,,,,,2012
0.000301437605456804,,5.51775988258754e-06,7.39399811037574e-08,0.906368667717101,18.070302948668,ADI,,0.137070442615053,,,,,,,,,,,,,2012
-7.83477923398805e-05,,1.53588153984291e-07,3.30993510206627e-07,0.998999153394043,4.30554480691798,ADM,,,,,,,,,,,,,,,2012
0.000387595205330877,,1.42552739662629e-05,0.0999782060389669,0.725076280706957,7.67966179329744,ADP,,,,,,,,,,,,,,,2012
0.00124398153959154,,3.85618286693348e-12,2.21910471712263e-06,0.998385324330692,4.26944279459326,ADSK,,,,,,,,,,,,,,,2012
-0.000118783152554733,,3.30989300705229e-06,0.0433842208519406,0.916388199598649,9.35904298117486,AEE,,,,,,,,,,,,,,,2012
0.00067276936603371,-0.303750947903121,9.36342988969942e-08,3.78642646582902e-06,0.998990909445007,3.86540102764349,AEP,0.381579760024391,,,,,,,,,,,,,,2012
-0.000702961662884555,,1.36908732772713e-07,0.0229912794965877,0.636417118172881,11.1628693187076,AES,,,,0.999256793931369,0.00143402564681036,,,,,,,,,,2012
0.000815364185216746,0.00924927952888209,3.30515458055485e-06,0.0261788498851866,0.957333069366283,7.24221059137002,AFL,,,,,,,,,,,,,,,2012
0.00210291427310892,0.00364377637433925,1.753337006832e-05,0.0240634877952556,0.927886961732127,5.93020178307935,AIG,,,,,,,,,,,,,,,2012
-0.000138886385872223,,9.7109244270745e-08,3.38665065283948e-08,0.998999915580779,6.79326273594087,AIZ,,,,,,,,,,,,,,,2012
0.00028294722851592,,1.06022367630335e-06,1.45616183383392e-07,0.971728243280545,20.404910551174,AJG,,,0.013284067108742,,,1.0329313721934,,,,,,,,,2012
-0.000618487449823007,,4.92411750607757e-13,3.25167739162005e-06,0.9983392875651,3.11915436559389,AKAM,,,,,,,,,,,,,,,2012
0.00134378856359274,0.970250024863896,6.40349943097944e-06,0.0427868896891516,0.935872485927144,13.6524693762612,ALB,-0.968091668091468,,,,,,,,,,,,,,2012
0.000342495019950759,,5.82226440417989e-12,2.59430796683851e-06,0.998285178903259,4.28121996216877,ALGN,,,,,,,,,,,,,,,2012
0.000657597592481258,,3.53438417436076e-05,0.122649905842579,0.729632339304271,4.90263961430431,ALK,,,,,,,,,,,,,,,2012
0.00133860818402748,,1.34468946606809e-07,1.12220730955299e-07,0.998999394378827,8.14631371314491,ALL,,,,,,,,,,,,,,,2012
0.000311964022115005,,2.92368293391259e-05,0.108016072899462,0.75874451622084,46.1756549938915,AMAT,,,,,,,,,,,,,,,2012
-0.00186074661694657,,5.67279867876792e-06,0.00190935283717626,0.997090616484097,3.16284018636848,AMD,,,,,,,,,,,,,,,2012
0.00119505557975799,,1.28933921795645e-05,0.0448485896633776,0.884049074517044,6.02193031276932,AME,,,,,,,,,,,,,,,2012
0.00116281088669909,,6.20068029376453e-08,5.11251641173313e-08,0.998999797985989,11.3829369582324,AMGN,,,,,,,,,,,,,,,2012
0.000671473434024041,-0.0315252732581233,1.04374641594948e-12,2.14979993400582e-05,0.990204812393711,6.36913343925985,AMP,,0.0985237485372679,9.63970129536318e-06,,,,,,-0.081829573549727,,,,,,2012
0.000995721228718004,0.647033566099962,6.97221925907964e-06,0.0497198703095061,0.887244678223306,12.119966375982,AMT,-0.725918882539674,,,,,0.894019269526796,-0.0865080861422356,,,,,,,,2012
0.000436790422913189,,2.04748485632885e-06,1.78421830384057e-09,0.991900237507184,5.12036789510901,AMZN,,,,,,,,,,,,,,,2012
0.00129848478879966,,1.30525425212156e-05,0.0238733464027913,0.939177454747429,2.89096195206547,ANSS,,,,,,,,,,,,,,,2012
0.000776389571112792,,3.83189038270928e-06,0.0164047745727292,0.946259553071275,4.073584621916,AON,,,,,,,,,,,,,,,2012
0.0018635730940434,0.82285221807915,4.77017786643658e-06,0.0268718772969811,0.951867308569757,13.5918474039948,AOS,-0.923912187171058,,,,,,,,,,,,,,2012
-0.000624619288288179,0.0476609194384296,1.0489796277671e-07,3.68285786469355e-08,0.998999924330148,30.2945764720312,APA,,,,,,,,,,,,,,,2012
0.000516973386118978,,1.20034282873637e-08,1.21076254910121e-08,0.998999959943696,5.67977918627265,APD,,,,,,,,,,,,,,,2012
