mu,omega,alpha1,beta1,shape,tick,beta2,ar1,ma1,ar2,ar3,ar4,ma2,alpha2,gamma1,gamma2,skew,eta11,eta21,ma3,ma4,ar5,ar6,label
0.00210138719211319,4.27629444469219e-06,0.0617604319215955,0.916314656628717,5.46448198660572,A,,,,,,,,,,,,,,,,,,2021
-0.000686511892363521,0.000377134346086814,0.250595432931363,1.0218850599979e-12,10.2503482365337,AAL,0.32549997792374,,,,,,,,,,,,,,,,,2021
0.00147799163660489,1.65006281770578e-05,0.0835979499966915,0.845262003386825,25.8786800230469,AAPL,,-0.951038330331822,0.910568783366741,,,,,,,,,,,,,,,2021
0.00193796173053047,1.72709161771366e-06,0.0115183841429955,0.973337110046828,4.77442904810018,ABBV,,,,,,,,,,,,,,,,,,2021
0.000435366433225719,5.92777152501931e-05,0.166758034205897,0.782623621060763,6.92173926820458,ABNB,,-1.0141170725317,0.955613546585832,-0.0916928891964561,,,,,,,,,,,,,,2021
0.00161013143868947,6.21393613608293e-07,1.96959100857256e-05,0.994643508991931,4.9072847631041,ABT,,,,,,,,,,,,,,,,,,2021
0.0010462862178406,1.21562034276275e-07,1.10510337761179e-07,0.998999534618844,9.88250834646293,ACGL,,-0.0680553923673087,,0.0367797795901455,-0.0321456731549717,-0.129516076953566,,,,,,,,,,,,2021
0.00194040056974109,2.06286572208928e-05,0.199017762387801,0.680789203800198,5.12851661291769,ACN,,-0.114314809831918,,-0.0795456275259807,,,,,,,,,,,,,,2021
0.0019996254909361,1.40245214637667e-05,0.177763385452021,0.790751683392036,7.43477709029825,ADBE,,,,,,,,,,,,,,,,,,2021
0.00099851501555207,5.57364825421476e-06,0.032382629835357,0.947165010333101,11.4335446097153,ADI,,,,,,,,,,,,,,,,,,2021
0.00126095223527769,5.14333885191454e-07,2.96435428234348e-05,0.999990437975825,16.9689369457732,ADM,,0.615127614657065,-0.616540648449269,-0.866604547742488,,,0.941759149853814,1.50166454010991e-05,0.272208660402458,-0.277849864420125,,,,,,,,2021
0.0018287860598516,1.08230788073001e-05,0.0464935669727552,0.880763014398866,4.61548697274426,ADP,,-0.178650276283851,,,,,,,,,,,,,,,,2021
0.000763543751983572,6.00758288857856e-05,0.0922235219818064,0.755871864655818,5.77811849194458,ADSK,,,,,,,,,,,0.803835917421709,,,,,,,2021
0.00109531538845405,1.95955275477932e-08,1.75547713906513e-08,0.998999967317198,10.3098992775609,AEE,,-0.74190441094031,0.69609027880651,-0.905451806580599,,,0.87237804955223,,,,,,,,,,,2021
0.000517533654023468,3.72436311136579e-08,1.67233181058263e-07,0.998999748731435,26.1974015656294,AEP,,,,,,,,,,,,,,,,,,2021
0.000133124424554296,5.8452945749106e-05,0.0071340342935271,0.693932674839165,7.8029759629651,AES,,,,,,,,,0.226403147808381,,,,,,,,,2021
0.00146056021983189,1.88447271731501e-07,7.38567736112759e-05,0.987357319059481,9.94969358078053,AFL,,-1.14759094912606,1.00760195906585,-0.220980571584602,,,-0.0233598471881785,,0.0225859648505319,,,,,,,,,2021
0.0015984567071682,0.000109427988013669,0.246047875896979,0.432549124412592,14.426718540857,AIG,,-0.112937688387189,,-0.0333160923440809,-0.0169651909448667,-0.09096124614345,,,,,,,,,,,,2021
0.000731656099897686,5.299620287921e-06,0.0366649346462754,0.926389591893868,9.75878559771652,AIZ,,-0.713277344407687,0.743312881704736,-0.950497760923289,,,0.918539621432981,,,,,,,,,,,2021
0.00162397525085978,6.19086075807686e-08,1.28058478416694e-06,0.998996856132546,9.96149231994136,AJG,,-0.104272290134018,,,,,,,,,,,,,,,,2021
0.00126250639455507,5.82801628558198e-06,0.0529228203556728,0.929342677439464,2.97358962638714,AKAM,,,,,,,,,,,,,,,,,,2021
0.00191581353538502,0.000590602387724173,0.181189286837726,6.96758943312993e-07,16.4288974886586,ALB,0.00160147494887542,0.985335627932465,-0.99999999,-0.00880171074087787,,,,,,,,,,,,,,2021
0.000502462879617194,1.66841237623137e-05,0.0218985059813799,0.945925174203456,5.5235719245386,ALGN,,,,,,,,,,,,,,,,,,2021
-0.000762382986214913,5.64594455433175e-08,1.86405686167551e-08,0.998999945721564,11.957974128417,ALK,,-0.0640313934048343,,0.138805636192611,-0.0450584333460793,,,,,,,,,,,,,2021
0.00059671555081848,1.97288562175596e-07,3.47576709847759e-05,0.998410595621444,7.93353012062283,ALL,,,,,,,,,,,,,,,,,,2021
0.000976804181078229,1.15960475337431e-07,4.05499996861018e-10,0.998999986782075,6.69958917646119,ALLE,,,,,,,,,,,,,,,,,,2021
0.0021907627289242,2.16393057314374e-05,0.0631575684623562,0.90704515922697,9.19773473466886,AMAT,,-0.131354099172776,,,,,,,,,,,,,,,,2021
0.000337363671707614,2.98807985402833e-16,9.81499663858992e-05,0.998611118018749,10.974202318339,AMCR,,-0.460355640463015,0.334577910479708,-0.106459457136734,,,-0.0216079335477647,,,,,,,,,,,2021
0.00170367693983655,4.74456417108346e-05,0.0850085120007552,0.85385925382297,7.41600854408294,AMD,,,,,,,,,,,,,,,,,,2021
0.00095204756215343,2.26988979641766e-06,0.0125128109723397,0.969185878966116,5.16956713154327,AME,,-0.1027286287951,,-0.067509804869696,0.0440263581594722,,,,,,,,,,,,,2021
0.000616305309674112,2.15156546774797e-07,0.000137853832772648,0.997795983732415,4.79555065961378,AMGN,,-0.482336508179682,0.561950614283486,-0.613676795299954,,,0.750705067980926,,,,,,,,,,,2021
