mu,ar1,ar2,ar3,ar4,ma1,ma2,ma3,omega,alpha1,beta1,shape,tick,gamma1,skew,alpha2,gamma2,beta2,ar5,ar6,ar7,eta11,eta21,label
0.00105416441659101,0.767938743470105,0.560447462998812,-0.366086257676721,-0.173639690491915,-0.777373600148061,-0.57812397837573,0.501113315956008,3.28137526449862e-05,0.153252494292745,0.7502483724661,4.14681927298418,A,,,,,,,,,,,2018
-0.000823303626682956,,,,,,,,4.36541331469742e-06,0.0180259064319978,0.980974018877713,4.02915321544772,AAL,,,,,,,,,,,2018
0.00112974974344314,,,,,,,,2.37471951569485e-05,0.273228536118347,0.707365002632274,4.9780315593889,AAPL,,,,,,,,,,,2018
0.000786152875177095,,,,,,,,7.24395775417741e-05,0.0965576658977924,0.760399971735025,3.6503459138666,ABBV,,,,,,,,,,,2018
0.0015063912870119,-0.814948121556088,-0.0336007713004407,,,0.87320435733687,,,3.74097748293921e-06,0.0788458293494443,0.920154052400081,4.0188919301085,ABT,,,,,,,,,,,2018
-0.000228976479451313,0.117422470081462,,,,,,,3.85730905797857e-05,0.0912689872733626,0.664445941741785,4.50901318995806,ACGL,,,,,,,,,,,2018
0.0010540138016111,,,,,,,,2.34646099110166e-05,0.321725047813998,0.650023268421609,3.83899760206137,ACN,,,,,,,,,,,2018
0.00227963658047769,0.776805107763344,,,,-0.860610296103056,,,1.72096636323351e-05,0.102411812784231,0.878974660125703,4.1749368925731,ADBE,,,,,,,,,,,2018
0.000547871649240479,,,,,,,,8.38866344657341e-06,0.0668562693719649,0.912940762131648,5.20663756150494,ADI,,,,,,,,,,,2018
0.00028191061282457,,,,,-0.00236302177891196,,,3.43051206186475e-06,0.0107531438226564,0.914701568592162,7.60267327034824,ADM,0.118462617329157,,,,,,,,,,2018
0.00163722570263753,,,,,,,,9.72570305390995e-06,0.224824359493545,0.774175066429451,4.09257466537564,ADP,,,,,,,,,,,2018
0.00123102546233499,,,,,,,,2.91222127391659e-06,0.0239585999868841,0.975041383247493,3.43973943898265,ADSK,,,,,,,,,,,2018
0.00110796184845021,,,,,,,,6.22774945694008e-06,0.0346090871945051,0.918827498573006,5.42739002869422,AEE,,,,,,,,,,,2018
0.000255824097581544,,,,,,,,1.02443942551906e-07,2.62332487823466e-07,0.998999394391451,9.03615401817948,AEP,,0.840727767242092,,,,,,,,,2018
0.00182790868030046,,,,,,,,0.000159230460774874,0.214479802252762,0.365828890255916,3.08830932408167,AES,,,,,,,,,,,2018
0.000543080801882565,,,,,,,,2.00717158501554e-06,0.0575772908588214,0.940701761301552,3.29531419360587,AFL,,,,,,,,,,,2018
0.000193746311401773,0.16367154155855,,,,,,,3.06499121129138e-05,0.238949280877915,0.671205893326065,4.25714711375957,AIG,,,,,,,,,,,2018
-0.00028387693924729,,,,,,,,7.20474062157045e-07,2.58483882901701e-05,0.987437126048034,6.15335157085136,AIZ,0.21459832005519,,2.62406178065395e-05,-0.194775092026839,,,,,,,2018
0.00127679702821789,,,,,,,,5.53037153094268e-06,0.0874622780570101,0.88122807356111,4.14721516186558,AJG,,,,,,,,,,,2018
0.000514918835934884,,,,,,,,3.12089041889539e-06,0.0119885058678571,0.982527338596675,3.38723187981543,AKAM,,,,,,,,,,,2018
-0.00105847773522191,,,,,,,,1.76144078891722e-05,0.0525216568802117,0.909612443143913,4.51835683174921,ALB,,0.863519027293476,5.70935001084794e-07,,,,,,,,2018
0.00297005579118365,,,,,0.0136782680938645,,,2.64125127183214e-05,0.0456873186365147,0.925799165294742,3.93765261924975,ALGN,,,,,,,,,,,2018
-0.000226125139585293,,,,,,,,6.89992627194232e-07,2.35339683490471e-09,0.998999941840172,4.14362374566823,ALK,,,,,,,,,,,2018
-0.000601260665080295,,,,,,,,2.99024696497625e-06,0.0584852123063374,0.93885156379214,3.06515148334918,ALL,,0.742578821906114,,,,,,,,,2018
0.0010841045254637,,,,,,,,5.09009013038229e-05,0.176175068111498,0.594553703118206,6.53783064037694,ALLE,,,,,,,,,,,2018
-0.00137072497628574,,,,,,,,2.3352783733305e-05,0.0608296632225882,0.906067157160382,7.88194681347963,AMAT,,,,,,,,,,,2018
0.00296953459813152,,,,,,,,8.76165855362671e-06,0.0372415048079473,0.961758295706977,5.10483365815433,AMD,,,,,,,,,,,2018
0.000424919691573339,,,,,,,,7.37183216582329e-06,0.0973053093468728,0.882204473042072,5.39454969593644,AME,,,,,,,,,,,2018
0.00117831257778866,-0.0379592220552797,0.693816704895466,,,0.0834323700394201,-0.847256242573232,,3.12783180838753e-06,0.075586152238187,0.919752899473858,4.72417013534099,AMGN,,,,,,,,,,,2018
-0.00136986381107726,,,,,,,,8.89866954708556e-06,0.0361675909561733,0.941689212377465,5.474104020758,AMP,,0.789507109002899,,,,,,,,,2018
0.000826410131037463,,,,,,,,7.98732809769469e-06,0.0701964145644488,0.885071192888413,5.28779749569912,AMT,,,,,,,,,,,2018
0.00324630956607077,,,,,,,,1.78145501544144e-05,0.263605216285165,0.735394777100554,6.10174779641685,AMZN,,,,,,,,,,,2018
0.00132295852404557,,,,,,,,1.34801545981322e-06,1.12612717563385e-09,0.998999860721981,4.25003997489303,ANET,,,,,,,,,,,2018
0.000363112489690103,,,,,,,,3.36639456257507e-06,4.00219253141121e-08,0.221055769148987,7.74692859990813,ANSS,,0.818645925259542,0.118071829290558,,0.659872265477693,,,,,,2018
0.000922173570893559,-0.946321444859044,,,,1.00000000398252,,,2.59907998305735e-06,0.0435007557378613,0.937717002981567,7.34997489504119,AON,,,,,,,,,,,2018
